Mean Delta Voltage: 3122.34 mV
Mean Delta Voltage: 3057.9 mV
Mean Drop Voltage: 170.04 mV
Mean power ESP: 1227.1221883800042 mWrun, Start Voltage [mV], Final Voltage [mV], Voltage Drop[mV]:
0, 3126.000000, 3060.000000, 144.000000
1, 3138.000000, 3054.000000, 168.000000
2, 3138.000000, 3060.000000, 168.000000
3, 3138.000000, 3060.000000, 162.000000
4, 3126.000000, 3072.000000, 174.000000
5, 3126.000000, 3066.000000, 174.000000
6, 3126.000000, 3048.000000, 150.000000
7, 3126.000000, 3066.000000, 162.000000
8, 3114.000000, 3072.000000, 174.000000
9, 3138.000000, 3066.000000, 150.000000
10, 3120.000000, 3072.000000, 168.000000
11, 3126.000000, 3066.000000, 168.000000
12, 3132.000000, 3084.000000, 198.000000
13, 3138.000000, 3060.000000, 162.000000
14, 3132.000000, 3078.000000, 186.000000
15, 3132.000000, 3066.000000, 174.000000
16, 3132.000000, 3054.000000, 150.000000
17, 3126.000000, 3048.000000, 138.000000
18, 3126.000000, 3054.000000, 144.000000
19, 3132.000000, 3066.000000, 174.000000
20, 3132.000000, 3060.000000, 162.000000
21, 3126.000000, 3060.000000, 174.000000
22, 3126.000000, 3060.000000, 174.000000
23, 3126.000000, 3078.000000, 180.000000
24, 3114.000000, 3054.000000, 168.000000
25, 3126.000000, 3054.000000, 162.000000
26, 3114.000000, 3102.000000, 216.000000
27, 3144.000000, 3060.000000, 162.000000
28, 3126.000000, 3060.000000, 174.000000
29, 3120.000000, 3072.000000, 174.000000
30, 3108.000000, 3066.000000, 186.000000
31, 3126.000000, 3060.000000, 168.000000
32, 3120.000000, 3096.000000, 210.000000
33, 3126.000000, 3060.000000, 168.000000
34, 3126.000000, 3078.000000, 198.000000
35, 3126.000000, 3066.000000, 162.000000
36, 3120.000000, 3060.000000, 174.000000
37, 3132.000000, 3060.000000, 180.000000
38, 3126.000000, 3054.000000, 168.000000
39, 3114.000000, 3054.000000, 174.000000
40, 3120.000000, 3072.000000, 180.000000
41, 3114.000000, 3060.000000, 168.000000
42, 3126.000000, 3054.000000, 168.000000
43, 3126.000000, 3060.000000, 174.000000
44, 3132.000000, 3066.000000, 168.000000
45, 3126.000000, 3054.000000, 186.000000
46, 3126.000000, 3060.000000, 156.000000
47, 3114.000000, 3060.000000, 180.000000
48, 3126.000000, 3048.000000, 150.000000
49, 3102.000000, 3048.000000, 180.000000
50, 3126.000000, 3048.000000, 156.000000
51, 3126.000000, 3060.000000, 150.000000
52, 3132.000000, 3054.000000, 162.000000
53, 3120.000000, 3036.000000, 150.000000
54, 3120.000000, 3054.000000, 150.000000
55, 3108.000000, 3054.000000, 174.000000
56, 3126.000000, 3048.000000, 150.000000
57, 3114.000000, 3042.000000, 144.000000
58, 3120.000000, 3066.000000, 204.000000
59, 3120.000000, 3048.000000, 150.000000
60, 3108.000000, 3048.000000, 162.000000
61, 3126.000000, 3042.000000, 150.000000
62, 3102.000000, 3054.000000, 186.000000
63, 3126.000000, 3054.000000, 180.000000
64, 3114.000000, 3060.000000, 186.000000
65, 3108.000000, 3048.000000, 162.000000
66, 3114.000000, 3084.000000, 198.000000
67, 3126.000000, 3054.000000, 174.000000
68, 3126.000000, 3054.000000, 156.000000
69, 3126.000000, 3054.000000, 174.000000
70, 3114.000000, 3060.000000, 192.000000
71, 3126.000000, 3054.000000, 168.000000
72, 3108.000000, 3054.000000, 156.000000
73, 3114.000000, 3060.000000, 174.000000
74, 3108.000000, 3054.000000, 156.000000
75, 3096.000000, 3048.000000, 156.000000
76, 3120.000000, 3048.000000, 174.000000
77, 3126.000000, 3048.000000, 186.000000
78, 3126.000000, 3054.000000, 180.000000
79, 3126.000000, 3084.000000, 222.000000
80, 3126.000000, 3060.000000, 186.000000
81, 3132.000000, 3036.000000, 168.000000
82, 3108.000000, 3048.000000, 186.000000
83, 3114.000000, 3042.000000, 174.000000
84, 3126.000000, 3048.000000, 180.000000
85, 3126.000000, 3048.000000, 162.000000
86, 3114.000000, 3066.000000, 186.000000
87, 3114.000000, 3048.000000, 168.000000
88, 3120.000000, 3060.000000, 180.000000
89, 3126.000000, 3054.000000, 156.000000
90, 3132.000000, 3042.000000, 162.000000
91, 3126.000000, 3042.000000, 162.000000
92, 3114.000000, 3042.000000, 162.000000
93, 3114.000000, 3054.000000, 174.000000
94, 3126.000000, 3048.000000, 156.000000
95, 3126.000000, 3060.000000, 174.000000
96, 3132.000000, 3042.000000, 150.000000
97, 3114.000000, 3054.000000, 156.000000
98, 3102.000000, 3042.000000, 162.000000
99, 3108.000000, 3060.000000, 186.000000
