time (in 10s), voltage_device (mV), voltage_esp (mV)
0, 561.538517, 561
1, 561.757624, 567
2, 561.890364, 565
3, 562.576592, 545
4, 562.245131, 559
5, 561.502576, 555
6, 561.947882, 563
7, 561.988354, 552
8, 561.754048, 558
9, 562.437952, 552
10, 562.142313, 573
11, 561.77783, 566
12, 562.634289, 563
13, 562.810361, 548
14, 562.123537, 575
15, 562.544286, 568
16, 562.503159, 574
17, 562.255561, 567
18, 562.589943, 561
19, 562.180817, 564
20, 562.297761, 566
21, 561.761141, 555
22, 562.769532, 549
23, 562.22707, 562
24, 561.899304, 570
25, 562.784493, 562
26, 562.29353, 570
27, 562.005281, 562
28, 562.766612, 568
29, 562.266707, 563
30, 562.555909, 560
31, 562.699437, 563
32, 563.069403, 562
33, 562.657654, 561
34, 561.847448, 564
35, 562.516332, 563
36, 562.335014, 571
37, 561.993241, 561
38, 562.135875, 574
39, 561.630785, 568
40, 561.733246, 567
41, 561.935842, 563
42, 561.762393, 564
43, 562.269866, 559
44, 562.132418, 550
45, 562.227488, 557
46, 562.413394, 561
47, 562.033117, 563
48, 561.09041, 571
49, 560.480475, 574
50, 561.423302, 584
51, 562.015772, 577
52, 561.655104, 571
53, 561.964095, 572
54, 562.164724, 579
55, 561.863363, 560
56, 562.426686, 568
57, 562.503159, 566
58, 562.752724, 553
59, 562.703073, 554
60, 562.13814, 561
61, 562.672436, 567
62, 562.606335, 568
63, 562.736452, 574
64, 562.890947, 572
65, 562.525868, 561
66, 562.57689, 565
67, 561.813533, 586
68, 561.698973, 556
69, 561.995924, 546
70, 561.408877, 567
71, 561.495721, 569
72, 561.278582, 560
73, 561.332285, 563
74, 562.228501, 562
75, 561.624229, 568
76, 561.802149, 564
77, 562.686563, 561
78, 562.531173, 567
79, 562.999666, 548
80, 562.831938, 574
81, 562.534451, 550
82, 562.339425, 560
83, 562.355459, 553
84, 562.274098, 562
85, 562.830627, 576
86, 563.070655, 543
87, 562.66433, 566
88, 563.027501, 581
89, 563.23123, 564
90, 562.842607, 566
91, 563.001037, 558
92, 562.94024, 566
93, 562.92057, 551
94, 562.344193, 551
95, 562.272966, 551
96, 562.409818, 555
97, 562.088788, 558
98, 562.151253, 559
99, 561.522961, 559
100, 561.72359, 556
101, 562.316358, 563
102, 561.418235, 569
103, 561.45668, 565
104, 561.862648, 568
105, 561.136901, 573
106, 562.018335, 563
107, 561.914206, 571
108, 561.637044, 568
109, 562.652588, 564
110, 562.689841, 580
111, 562.712729, 560
112, 562.982976, 558
113, 562.712491, 565
114, 563.247442, 534
115, 562.815964, 563
116, 562.336564, 560
117, 562.747121, 564
118, 563.202798, 561
119, 562.967837, 572
120, 562.59346, 571
121, 563.007414, 578
122, 563.024282, 588
123, 562.936008, 585
124, 562.889218, 561
125, 562.577188, 564
126, 562.740445, 566
127, 562.658668, 567
128, 562.396228, 564
129, 562.881708, 551
130, 562.678456, 561
131, 562.918842, 571
132, 562.86788, 565
133, 561.936975, 570
134, 562.676728, 572
135, 562.436998, 555
136, 561.847031, 560
137, 562.599123, 567
138, 562.111676, 569
139, 562.685966, 561
140, 562.759995, 551
141, 562.304199, 540
142, 562.644482, 565
143, 561.996877, 571
144, 562.800825, 562
145, 562.596023, 561
