run, time(ms), voltage(mV), energy(uJ), energy(uWh), charge(uC), charge(uAh)
390, 11.580000, 561.443031, -0.000003, -0.000000, 0.000004, 0.000000
391, 11.730000, 561.517954, -0.000011, -0.000000, -0.000010, -0.000000
392, 11.650000, 561.921060, -0.000025, -0.000000, -0.000036, -0.000000
393, 11.790000, 561.716557, -0.000068, -0.000000, -0.000112, -0.000000
394, 11.320000, 563.030243, -0.000110, -0.000000, -0.000190, -0.000000
395, 10.930000, 563.259721, -0.000122, -0.000000, -0.000213, -0.000000
396, 11.840000, 563.115239, -0.000132, -0.000000, -0.000233, -0.000000
397, 12.500000, 563.515961, -0.000131, -0.000000, -0.000230, -0.000000
398, 11.810000, 564.095259, -0.000110, -0.000000, -0.000193, -0.000000
399, 11.240000, 564.488709, -0.000071, -0.000000, -0.000122, -0.000000
400, 11.180000, 564.039767, -0.000044, -0.000000, -0.000072, -0.000000
401, 11.050000, 563.729048, -0.000021, -0.000000, -0.000030, -0.000000
402, 11.510000, 563.639700, -0.000005, -0.000000, -0.000001, -0.000000
403, 11.920000, 563.203335, -0.000001, -0.000000, 0.000007, 0.000000
404, 12.230000, 563.490570, -0.000013, -0.000000, -0.000013, -0.000000
405, 11.810000, 563.032627, -0.000022, -0.000000, -0.000031, -0.000000
406, 11.810000, 562.784433, -0.000054, -0.000000, -0.000087, -0.000000
407, 11.500000, 563.187599, -0.000102, -0.000000, -0.000175, -0.000000
408, 11.160000, 563.404083, -0.000117, -0.000000, -0.000203, -0.000000
409, 11.480000, 564.450204, -0.000129, -0.000000, -0.000227, -0.000000
410, 12.520000, 564.159811, -0.000136, -0.000000, -0.000239, -0.000000
411, 11.790000, 564.208090, -0.000126, -0.000000, -0.000221, -0.000000
412, 11.260000, 564.468026, -0.000106, -0.000000, -0.000186, -0.000000
413, 11.160000, 564.620495, -0.000084, -0.000000, -0.000147, -0.000000
414, 11.070000, 565.098226, -0.000062, -0.000000, -0.000104, -0.000000
415, 11.490000, 564.813375, -0.000031, -0.000000, -0.000049, -0.000000
416, 11.880000, 564.353645, -0.000014, -0.000000, -0.000017, -0.000000
417, 11.780000, 563.968420, 0.000001, 0.000000, 0.000009, 0.000000
418, 11.830000, 562.468052, -0.000011, -0.000000, -0.000010, -0.000000
419, 11.790000, 562.801898, -0.000026, -0.000000, -0.000038, -0.000000
420, 11.700000, 563.073754, -0.000065, -0.000000, -0.000107, -0.000000
421, 11.090000, 562.691987, -0.000106, -0.000000, -0.000184, -0.000000
422, 11.750000, 563.494563, -0.000127, -0.000000, -0.000222, -0.000000
423, 11.130000, 564.254642, -0.000130, -0.000000, -0.000229, -0.000000
424, 11.620000, 564.384878, -0.000129, -0.000000, -0.000226, -0.000000
425, 12.500000, 564.187646, -0.000103, -0.000000, -0.000180, -0.000000
426, 11.810000, 564.350963, -0.000068, -0.000000, -0.000116, -0.000000
427, 11.190000, 564.611793, -0.000022, -0.000000, -0.000032, -0.000000
428, 12.580000, 564.439416, -0.000010, -0.000000, -0.000011, -0.000000
429, 11.810000, 564.536154, -0.000002, -0.000000, 0.000004, 0.000000
430, 11.810000, 564.129055, -0.000016, -0.000000, -0.000018, -0.000000
431, 11.680000, 563.771904, -0.000034, -0.000000, -0.000051, -0.000000
432, 10.970000, 564.046025, -0.000067, -0.000000, -0.000112, -0.000000
433, 11.790000, 563.168943, -0.000105, -0.000000, -0.000180, -0.000000
434, 11.320000, 563.157380, -0.000129, -0.000000, -0.000227, -0.000000
435, 12.500000, 563.586712, -0.000135, -0.000000, -0.000238, -0.000000
436, 11.810000, 563.790977, -0.000125, -0.000000, -0.000220, -0.000000
437, 11.250000, 564.623654, -0.000106, -0.000000, -0.000186, -0.000000
438, 11.120000, 564.539194, -0.000085, -0.000000, -0.000148, -0.000000
439, 11.440000, 564.600468, -0.000058, -0.000000, -0.000097, -0.000000
440, 10.950000, 564.696491, -0.000035, -0.000000, -0.000056, -0.000000
441, 11.820000, 565.117180, -0.000013, -0.000000, -0.000016, -0.000000
442, 12.520000, 565.499663, -0.000007, -0.000000, -0.000005, -0.000000
443, 11.800000, 564.747512, -0.000011, -0.000000, -0.000010, -0.000000
444, 11.270000, 564.609170, -0.000020, -0.000000, -0.000027, -0.000000
445, 12.190000, 564.134777, -0.000050, -0.000000, -0.000080, -0.000000
446, 12.580000, 564.099729, -0.000104, -0.000000, -0.000178, -0.000000
447, 11.810000, 565.210402, -0.000128, -0.000000, -0.000223, -0.000000
448, 11.810000, 565.011621, -0.000132, -0.000000, -0.000232, -0.000000
449, 11.560000, 565.465331, -0.000120, -0.000000, -0.000211, -0.000000
450, 11.090000, 568.648875, -0.000111, -0.000000, -0.000195, -0.000000
451, 12.600000, 570.674300, -0.000082, -0.000000, -0.000139, -0.000000
452, 11.830000, 571.745753, -0.000040, -0.000000, -0.000064, -0.000000
453, 11.810000, 572.495699, -0.000005, -0.000000, -0.000001, -0.000000
454, 11.810000, 573.130488, -0.000002, -0.000000, 0.000006, 0.000000
455, 11.800000, 573.433816, -0.000015, -0.000000, -0.000017, -0.000000
456, 11.830000, 572.296262, -0.000037, -0.000000, -0.000057, -0.000000
457, 11.810000, 571.997881, -0.000082, -0.000000, -0.000139, -0.000000
458, 11.810000, 572.044432, -0.000123, -0.000000, -0.000214, -0.000000
459, 11.800000, 572.629869, -0.000132, -0.000000, -0.000232, -0.000000
460, 11.830000, 572.199583, -0.000124, -0.000000, -0.000218, -0.000000
461, 11.810000, 571.134508, -0.000097, -0.000000, -0.000169, -0.000000
462, 11.820000, 571.337104, -0.000050, -0.000000, -0.000083, -0.000000
463, 11.680000, 571.588755, -0.000011, -0.000000, -0.000012, -0.000000
464, 11.770000, 572.619557, 0.000000, 0.000000, 0.000009, 0.000000
465, 11.800000, 572.679639, -0.000012, -0.000000, -0.000012, -0.000000
466, 11.520000, 571.724296, -0.000025, -0.000000, -0.000035, -0.000000
467, 11.310000, 572.034657, -0.000037, -0.000000, -0.000056, -0.000000
468, 11.380000, 571.567953, -0.000062, -0.000000, -0.000103, -0.000000
469, 12.500000, 571.450114, -0.000105, -0.000000, -0.000180, -0.000000
470, 11.820000, 570.794582, -0.000128, -0.000000, -0.000225, -0.000000
471, 11.250000, 570.988297, -0.000129, -0.000000, -0.000229, -0.000000
472, 11.180000, 571.429074, -0.000125, -0.000000, -0.000220, -0.000000
473, 11.060000, 571.111023, -0.000118, -0.000000, -0.000208, -0.000000
474, 11.510000, 571.833193, -0.000111, -0.000000, -0.000195, -0.000000
475, 12.060000, 572.388828, -0.000085, -0.000000, -0.000146, -0.000000
476, 11.840000, 572.427273, -0.000038, -0.000000, -0.000061, -0.000000
477, 11.810000, 573.244452, -0.000005, -0.000000, -0.000001, -0.000000
478, 11.820000, 572.932601, -0.000002, -0.000000, 0.000005, 0.000000
479, 11.680000, 572.426260, -0.000014, -0.000000, -0.000015, -0.000000
480, 11.170000, 572.396398, -0.000025, -0.000000, -0.000035, -0.000000
481, 11.680000, 571.798682, -0.000053, -0.000000, -0.000085, -0.000000
482, 11.600000, 572.216630, -0.000104, -0.000000, -0.000179, -0.000000
483, 11.800000, 572.064877, -0.000122, -0.000000, -0.000213, -0.000000
484, 11.380000, 570.821583, -0.000130, -0.000000, -0.000230, -0.000000
485, 12.390000, 570.038915, -0.000132, -0.000000, -0.000233, -0.000000
486, 11.820000, 570.514560, -0.000115, -0.000000, -0.000202, -0.000000
487, 11.320000, 570.383132, -0.000082, -0.000000, -0.000140, -0.000000
488, 11.340000, 570.777833, -0.000056, -0.000000, -0.000094, -0.000000
489, 11.090000, 569.832683, -0.000032, -0.000000, -0.000051, -0.000000
490, 11.110000, 569.796264, -0.000011, -0.000000, -0.000012, -0.000000
491, 11.210000, 571.069121, 0.000001, 0.000000, 0.000009, 0.000000
492, 11.340000, 571.108818, 0.000005, 0.000000, 0.000017, 0.000000
493, 11.270000, 571.837485, 0.000001, 0.000000, 0.000012, 0.000000
494, 11.030000, 571.707249, -0.000003, -0.000000, 0.000004, 0.000000
495, 11.490000, 571.501315, -0.000014, -0.000000, -0.000016, -0.000000
496, 12.620000, 571.566522, -0.000043, -0.000000, -0.000067, -0.000000
497, 11.810000, 571.218193, -0.000093, -0.000000, -0.000159, -0.000000
498, 11.820000, 571.731031, -0.000127, -0.000000, -0.000223, -0.000000
499, 11.420000, 570.667207, -0.000131, -0.000000, -0.000231, -0.000000
500, 12.580000, 569.842458, -0.000131, -0.000000, -0.000230, -0.000000
501, 11.810000, 569.418848, -0.000112, -0.000000, -0.000196, -0.000000
502, 11.830000, 568.759918, -0.000068, -0.000000, -0.000115, -0.000000
503, 11.810000, 569.297314, -0.000020, -0.000000, -0.000027, -0.000000
504, 11.820000, 569.909334, 0.000000, 0.000000, 0.000008, 0.000000
505, 11.800000, 570.439577, -0.000009, -0.000000, -0.000005, -0.000000
506, 11.830000, 570.124149, -0.000024, -0.000000, -0.000033, -0.000000
507, 11.810000, 570.390522, -0.000055, -0.000000, -0.000088, -0.000000
508, 11.820000, 571.083784, -0.000106, -0.000000, -0.000183, -0.000000
509, 11.800000, 571.414709, -0.000131, -0.000000, -0.000230, -0.000000
510, 11.830000, 570.737600, -0.000130, -0.000000, -0.000231, -0.000000
511, 11.810000, 570.274770, -0.000116, -0.000000, -0.000204, -0.000000
512, 11.820000, 569.573224, -0.000077, -0.000000, -0.000132, -0.000000
513, 11.740000, 569.583833, -0.000028, -0.000000, -0.000043, -0.000000
514, 11.770000, 570.604265, -0.000000, -0.000000, 0.000008, 0.000000
515, 11.810000, 570.223212, -0.000005, -0.000000, -0.000000, -0.000000
516, 10.960000, 570.234537, -0.000010, -0.000000, -0.000008, -0.000000
517, 11.900000, 569.488049, -0.000032, -0.000000, -0.000047, -0.000000
518, 11.820000, 569.587231, -0.000070, -0.000000, -0.000116, -0.000000
519, 11.800000, 570.843399, -0.000116, -0.000000, -0.000201, -0.000000
520, 11.830000, 570.327699, -0.000132, -0.000000, -0.000232, -0.000000
521, 11.810000, 571.276069, -0.000126, -0.000000, -0.000222, -0.000000
522, 11.820000, 571.612775, -0.000107, -0.000000, -0.000187, -0.000000
523, 11.620000, 570.384800, -0.000065, -0.000000, -0.000110, -0.000000
524, 11.760000, 571.396887, -0.000037, -0.000000, -0.000059, -0.000000
525, 11.070000, 570.936143, -0.000001, -0.000000, 0.000005, 0.000000
526, 11.030000, 570.564270, 0.000007, 0.000000, 0.000019, 0.000000
527, 11.270000, 571.043849, 0.000003, 0.000000, 0.000014, 0.000000
528, 10.950000, 569.016099, -0.000000, -0.000000, 0.000009, 0.000000
529, 11.820000, 569.943607, -0.000016, -0.000000, -0.000019, -0.000000
530, 12.530000, 569.429934, -0.000050, -0.000000, -0.000080, -0.000000
531, 11.800000, 570.337832, -0.000085, -0.000000, -0.000144, -0.000000
532, 11.270000, 571.387649, -0.000121, -0.000000, -0.000210, -0.000000
533, 12.200000, 570.184588, -0.000133, -0.000000, -0.000234, -0.000000
534, 12.590000, 571.042120, -0.000133, -0.000000, -0.000234, -0.000000
535, 11.810000, 569.999337, -0.000114, -0.000000, -0.000201, -0.000000
536, 11.830000, 570.723236, -0.000075, -0.000000, -0.000127, -0.000000
537, 11.810000, 571.052194, -0.000025, -0.000000, -0.000037, -0.000000
538, 11.820000, 570.820391, 0.000001, 0.000000, 0.000009, 0.000000
539, 11.800000, 571.230829, -0.000006, -0.000000, -0.000002, -0.000000
540, 11.830000, 568.994403, -0.000020, -0.000000, -0.000027, -0.000000
541, 11.810000, 569.772184, -0.000049, -0.000000, -0.000078, -0.000000
542, 11.820000, 569.587648, -0.000100, -0.000000, -0.000170, -0.000000
543, 11.800000, 568.683028, -0.000129, -0.000000, -0.000227, -0.000000
544, 11.830000, 570.020914, -0.000132, -0.000000, -0.000233, -0.000000
545, 11.800000, 568.975329, -0.000119, -0.000000, -0.000209, -0.000000
546, 11.640000, 569.929719, -0.000084, -0.000000, -0.000145, -0.000000
547, 11.740000, 570.748329, -0.000034, -0.000000, -0.000053, -0.000000
548, 11.150000, 569.547892, 0.000000, 0.000000, 0.000007, 0.000000
549, 11.600000, 570.237339, 0.000002, 0.000000, 0.000012, 0.000000
550, 12.530000, 569.412589, -0.000011, -0.000000, -0.000010, -0.000000
551, 11.380000, 569.391847, -0.000012, -0.000000, -0.000012, -0.000000
552, 11.700000, 570.160866, -0.000023, -0.000000, -0.000032, -0.000000
553, 11.130000, 569.553912, -0.000050, -0.000000, -0.000079, -0.000000
554, 11.620000, 570.706964, -0.000086, -0.000000, -0.000146, -0.000000
555, 12.510000, 569.411635, -0.000130, -0.000000, -0.000227, -0.000000
556, 11.820000, 569.084704, -0.000132, -0.000000, -0.000233, -0.000000
557, 11.250000, 570.301175, -0.000120, -0.000000, -0.000211, -0.000000
558, 12.530000, 570.200622, -0.000107, -0.000000, -0.000186, -0.000000
559, 11.800000, 570.264220, -0.000071, -0.000000, -0.000121, -0.000000
560, 11.270000, 570.110083, -0.000024, -0.000000, -0.000036, -0.000000
561, 11.170000, 570.124567, -0.000005, -0.000000, -0.000002, -0.000000
562, 11.080000, 569.791675, 0.000004, 0.000000, 0.000014, 0.000000
563, 11.500000, 570.020497, 0.000002, 0.000000, 0.000012, 0.000000
564, 12.560000, 570.156097, -0.000015, -0.000000, -0.000017, -0.000000
565, 11.810000, 570.017755, -0.000021, -0.000000, -0.000029, -0.000000
566, 11.820000, 569.571733, -0.000049, -0.000000, -0.000078, -0.000000
567, 11.500000, 568.691313, -0.000098, -0.000000, -0.000168, -0.000000
568, 11.350000, 568.446994, -0.000116, -0.000000, -0.000201, -0.000000
569, 11.330000, 569.016039, -0.000128, -0.000000, -0.000224, -0.000000
570, 11.170000, 568.731248, -0.000130, -0.000000, -0.000229, -0.000000
571, 11.490000, 568.250597, -0.000131, -0.000000, -0.000230, -0.000000
572, 12.530000, 568.387926, -0.000129, -0.000000, -0.000227, -0.000000
573, 11.800000, 568.620384, -0.000105, -0.000000, -0.000183, -0.000000
574, 11.270000, 568.592072, -0.000065, -0.000000, -0.000110, -0.000000
575, 11.170000, 568.635821, -0.000038, -0.000000, -0.000061, -0.000000
576, 11.080000, 568.715990, -0.000015, -0.000000, -0.000020, -0.000000
577, 11.500000, 568.477452, -0.000001, -0.000000, 0.000004, 0.000000
578, 11.880000, 568.589985, 0.000001, 0.000000, 0.000010, 0.000000
579, 11.780000, 568.033814, -0.000010, -0.000000, -0.000007, -0.000000
580, 11.830000, 567.492366, -0.000025, -0.000000, -0.000036, -0.000000
581, 11.800000, 567.510724, -0.000060, -0.000000, -0.000098, -0.000000
582, 11.700000, 567.068279, -0.000109, -0.000000, -0.000188, -0.000000
583, 11.090000, 567.579269, -0.000128, -0.000000, -0.000225, -0.000000
584, 11.760000, 566.949189, -0.000132, -0.000000, -0.000232, -0.000000
585, 11.190000, 567.225754, -0.000120, -0.000000, -0.000212, -0.000000
586, 12.530000, 568.366587, -0.000106, -0.000000, -0.000184, -0.000000
587, 11.800000, 568.038821, -0.000072, -0.000000, -0.000122, -0.000000
588, 11.270000, 569.124103, -0.000025, -0.000000, -0.000038, -0.000000
589, 11.890000, 568.544924, -0.000008, -0.000000, -0.000007, -0.000000
590, 12.620000, 568.816304, -0.000009, -0.000000, -0.000007, -0.000000
591, 11.820000, 570.473909, -0.000021, -0.000000, -0.000028, -0.000000
592, 11.820000, 569.518328, -0.000051, -0.000000, -0.000081, -0.000000
593, 11.800000, 569.652081, -0.000102, -0.000000, -0.000175, -0.000000
594, 11.830000, 569.190383, -0.000130, -0.000000, -0.000230, -0.000000
595, 11.820000, 567.935348, -0.000132, -0.000000, -0.000233, -0.000000
596, 11.820000, 568.957031, -0.000117, -0.000000, -0.000205, -0.000000
597, 11.800000, 568.038821, -0.000080, -0.000000, -0.000136, -0.000000
598, 11.830000, 568.745017, -0.000031, -0.000000, -0.000048, -0.000000
599, 11.820000, 568.904817, -0.000001, -0.000000, 0.000005, 0.000000
600, 11.820000, 568.120360, -0.000004, -0.000000, 0.000002, 0.000000
601, 11.800000, 569.369912, -0.000019, -0.000000, -0.000024, -0.000000
602, 11.830000, 567.709208, -0.000045, -0.000000, -0.000070, -0.000000
603, 11.800000, 568.346202, -0.000094, -0.000000, -0.000160, -0.000000
604, 11.520000, 569.657922, -0.000127, -0.000000, -0.000222, -0.000000
605, 11.740000, 568.389416, -0.000131, -0.000000, -0.000232, -0.000000
606, 11.230000, 569.434762, -0.000126, -0.000000, -0.000223, -0.000000
607, 11.560000, 568.689823, -0.000120, -0.000000, -0.000211, -0.000000
608, 11.390000, 569.581091, -0.000112, -0.000000, -0.000197, -0.000000
609, 12.510000, 570.154548, -0.000083, -0.000000, -0.000142, -0.000000
610, 11.820000, 569.114923, -0.000041, -0.000000, -0.000066, -0.000000
611, 11.250000, 569.903195, -0.000004, -0.000000, 0.000001, 0.000000
612, 11.190000, 568.233609, 0.000005, 0.000000, 0.000016, 0.000000
613, 11.060000, 568.292975, 0.000005, 0.000000, 0.000018, 0.000000
614, 11.510000, 569.899201, -0.000005, -0.000000, 0.000001, 0.000000
615, 12.610000, 568.388700, -0.000024, -0.000000, -0.000033, -0.000000
616, 11.840000, 569.001794, -0.000036, -0.000000, -0.000054, -0.000000
617, 11.820000, 568.482518, -0.000079, -0.000000, -0.000133, -0.000000
618, 11.460000, 568.719327, -0.000118, -0.000000, -0.000205, -0.000000
619, 11.800000, 570.183456, -0.000130, -0.000000, -0.000229, -0.000000
620, 11.840000, 568.933606, -0.000131, -0.000000, -0.000232, -0.000000
621, 11.820000, 570.635736, -0.000117, -0.000000, -0.000205, -0.000000
622, 11.820000, 569.889665, -0.000079, -0.000000, -0.000135, -0.000000
623, 11.800000, 569.151700, -0.000030, -0.000000, -0.000045, -0.000000
624, 11.840000, 570.515931, -0.000001, -0.000000, 0.000005, 0.000000
625, 11.820000, 569.627166, -0.000004, -0.000000, 0.000002, 0.000000
626, 11.820000, 570.240617, -0.000018, -0.000000, -0.000022, -0.000000
627, 11.680000, 569.950700, -0.000042, -0.000000, -0.000066, -0.000000
628, 11.780000, 569.235861, -0.000094, -0.000000, -0.000161, -0.000000
629, 11.800000, 569.542706, -0.000127, -0.000000, -0.000224, -0.000000
630, 11.520000, 568.243861, -0.000130, -0.000000, -0.000230, -0.000000
631, 11.310000, 568.893969, -0.000126, -0.000000, -0.000222, -0.000000
632, 11.380000, 569.202840, -0.000120, -0.000000, -0.000211, -0.000000
633, 12.510000, 568.355680, -0.000102, -0.000000, -0.000177, -0.000000
634, 11.820000, 568.463266, -0.000067, -0.000000, -0.000114, -0.000000
635, 11.250000, 569.024444, -0.000021, -0.000000, -0.000030, -0.000000
636, 11.190000, 569.390416, -0.000003, -0.000000, 0.000001, 0.000000
637, 11.060000, 569.495916, 0.000005, 0.000000, 0.000016, 0.000000
638, 11.520000, 569.860041, 0.000001, 0.000000, 0.000011, 0.000000
639, 12.060000, 569.986582, -0.000010, -0.000000, -0.000008, -0.000000
640, 11.840000, 569.693029, -0.000022, -0.000000, -0.000031, -0.000000
641, 11.820000, 569.398999, -0.000054, -0.000000, -0.000086, -0.000000
642, 11.820000, 568.683505, -0.000104, -0.000000, -0.000179, -0.000000
643, 11.680000, 569.034517, -0.000130, -0.000000, -0.000229, -0.000000
644, 11.170000, 568.897128, -0.000128, -0.000000, -0.000226, -0.000000
645, 11.680000, 567.989349, -0.000125, -0.000000, -0.000219, -0.000000
646, 11.600000, 568.092048, -0.000102, -0.000000, -0.000178, -0.000000
647, 11.800000, 568.168223, -0.000078, -0.000000, -0.000133, -0.000000
648, 11.390000, 569.290221, -0.000031, -0.000000, -0.000048, -0.000000
649, 12.390000, 569.001198, -0.000015, -0.000000, -0.000019, -0.000000
650, 11.820000, 568.935454, 0.000000, 0.000000, 0.000009, 0.000000
651, 11.330000, 569.943786, -0.000006, -0.000000, -0.000001, -0.000000
652, 11.350000, 569.623947, -0.000013, -0.000000, -0.000014, -0.000000
653, 11.070000, 570.958376, -0.000018, -0.000000, -0.000022, -0.000000
654, 10.950000, 570.360720, -0.000026, -0.000000, -0.000038, -0.000000
655, 11.820000, 569.203496, -0.000065, -0.000000, -0.000106, -0.000000
656, 12.530000, 569.314063, -0.000119, -0.000000, -0.000207, -0.000000
657, 11.020000, 568.750620, -0.000129, -0.000000, -0.000228, -0.000000
658, 12.590000, 568.744004, -0.000134, -0.000000, -0.000237, -0.000000
659, 11.820000, 568.453789, -0.000120, -0.000000, -0.000212, -0.000000
660, 11.840000, 568.400562, -0.000090, -0.000000, -0.000156, -0.000000
661, 11.820000, 568.099618, -0.000040, -0.000000, -0.000065, -0.000000
662, 11.820000, 568.544567, -0.000006, -0.000000, -0.000003, -0.000000
663, 11.800000, 569.588006, -0.000002, -0.000000, 0.000005, 0.000000
664, 11.840000, 569.426954, -0.000015, -0.000000, -0.000017, -0.000000
665, 11.800000, 570.070088, -0.000036, -0.000000, -0.000055, -0.000000
666, 11.820000, 571.011722, -0.000082, -0.000000, -0.000138, -0.000000
667, 11.820000, 570.178568, -0.000122, -0.000000, -0.000211, -0.000000
668, 11.840000, 570.652068, -0.000132, -0.000000, -0.000233, -0.000000
669, 11.800000, 570.441902, -0.000124, -0.000000, -0.000220, -0.000000
670, 11.820000, 569.925070, -0.000098, -0.000000, -0.000171, -0.000000
671, 11.820000, 570.387840, -0.000052, -0.000000, -0.000086, -0.000000
672, 11.840000, 569.290340, -0.000012, -0.000000, -0.000015, -0.000000
673, 11.820000, 569.462478, -0.000000, -0.000000, 0.000008, 0.000000
674, 11.820000, 568.550646, -0.000012, -0.000000, -0.000012, -0.000000
675, 11.800000, 568.411469, -0.000029, -0.000000, -0.000042, -0.000000
676, 11.840000, 570.095420, -0.000070, -0.000000, -0.000117, -0.000000
677, 11.820000, 569.528341, -0.000116, -0.000000, -0.000200, -0.000000
678, 11.820000, 569.414854, -0.000132, -0.000000, -0.000234, -0.000000
679, 11.800000, 569.300711, -0.000127, -0.000000, -0.000224, -0.000000
680, 11.780000, 569.357157, -0.000110, -0.000000, -0.000192, -0.000000
681, 11.800000, 569.993377, -0.000066, -0.000000, -0.000111, -0.000000
682, 10.900000, 568.819284, -0.000021, -0.000000, -0.000031, -0.000000
683, 11.690000, 568.844438, -0.000005, -0.000000, -0.000002, -0.000000
684, 12.530000, 568.373680, -0.000010, -0.000000, -0.000008, -0.000000
685, 11.800000, 566.905320, -0.000016, -0.000000, -0.000020, -0.000000
686, 11.270000, 568.088412, -0.000028, -0.000000, -0.000040, -0.000000
687, 11.170000, 567.836583, -0.000045, -0.000000, -0.000072, -0.000000
688, 11.080000, 567.672253, -0.000071, -0.000000, -0.000119, -0.000000
689, 11.500000, 568.575442, -0.000103, -0.000000, -0.000177, -0.000000
690, 11.880000, 567.601681, -0.000123, -0.000000, -0.000214, -0.000000
691, 11.790000, 568.655908, -0.000132, -0.000000, -0.000233, -0.000000
692, 11.840000, 568.986356, -0.000125, -0.000000, -0.000220, -0.000000
693, 11.800000, 569.478214, -0.000098, -0.000000, -0.000170, -0.000000
694, 11.700000, 569.776058, -0.000052, -0.000000, -0.000087, -0.000000
695, 11.090000, 568.714321, -0.000010, -0.000000, -0.000011, -0.000000
696, 11.760000, 569.106996, -0.000001, -0.000000, 0.000005, 0.000000
697, 11.130000, 568.150640, 0.000002, 0.000000, 0.000013, 0.000000
698, 11.630000, 567.962646, -0.000010, -0.000000, -0.000009, -0.000000
699, 12.510000, 568.346858, -0.000043, -0.000000, -0.000067, -0.000000
700, 11.820000, 567.308486, -0.000070, -0.000000, -0.000116, -0.000000
701, 11.190000, 567.265093, -0.000109, -0.000000, -0.000189, -0.000000
702, 12.590000, 567.662358, -0.000132, -0.000000, -0.000231, -0.000000
703, 11.820000, 567.945480, -0.000132, -0.000000, -0.000232, -0.000000
704, 11.820000, 568.736732, -0.000120, -0.000000, -0.000211, -0.000000
705, 11.680000, 568.599105, -0.000089, -0.000000, -0.000153, -0.000000
706, 10.980000, 568.510771, -0.000045, -0.000000, -0.000074, -0.000000
707, 11.800000, 568.862021, -0.000019, -0.000000, -0.000026, -0.000000
708, 11.330000, 568.709493, 0.000005, 0.000000, 0.000016, 0.000000
709, 12.510000, 568.906248, -0.000010, -0.000000, -0.000009, -0.000000
710, 11.820000, 568.159759, -0.000015, -0.000000, -0.000018, -0.000000
711, 11.250000, 567.845106, -0.000027, -0.000000, -0.000039, -0.000000
712, 11.130000, 567.611873, -0.000042, -0.000000, -0.000067, -0.000000
713, 11.450000, 567.161798, -0.000077, -0.000000, -0.000129, -0.000000
714, 10.960000, 567.111731, -0.000093, -0.000000, -0.000160, -0.000000
715, 11.820000, 567.117631, -0.000123, -0.000000, -0.000214, -0.000000
716, 12.530000, 568.010867, -0.000136, -0.000000, -0.000239, -0.000000
717, 11.800000, 567.987859, -0.000125, -0.000000, -0.000219, -0.000000
718, 11.270000, 568.492532, -0.000106, -0.000000, -0.000185, -0.000000
719, 12.190000, 568.316638, -0.000074, -0.000000, -0.000126, -0.000000
720, 12.580000, 568.532050, -0.000028, -0.000000, -0.000043, -0.000000
721, 11.810000, 568.462849, -0.000000, -0.000000, 0.000007, 0.000000
722, 11.810000, 568.533719, -0.000005, -0.000000, -0.000000, -0.000000
723, 11.560000, 568.191528, -0.000016, -0.000000, -0.000019, -0.000000
724, 11.090000, 567.123592, -0.000018, -0.000000, -0.000023, -0.000000
725, 12.600000, 567.180336, -0.000058, -0.000000, -0.000094, -0.000000
726, 11.830000, 567.334771, -0.000095, -0.000000, -0.000162, -0.000000
727, 11.810000, 566.787243, -0.000128, -0.000000, -0.000224, -0.000000
728, 11.810000, 566.532314, -0.000133, -0.000000, -0.000234, -0.000000
729, 11.790000, 566.178918, -0.000122, -0.000000, -0.000214, -0.000000
730, 11.830000, 566.005349, -0.000087, -0.000000, -0.000150, -0.000000
731, 11.810000, 566.448867, -0.000038, -0.000000, -0.000061, -0.000000
732, 11.810000, 566.567361, -0.000005, -0.000000, -0.000001, -0.000000
733, 11.790000, 566.853881, -0.000002, -0.000000, 0.000004, 0.000000
734, 11.770000, 566.302180, -0.000016, -0.000000, -0.000018, -0.000000
735, 11.790000, 565.815389, -0.000038, -0.000000, -0.000058, -0.000000
736, 11.320000, 566.138089, -0.000076, -0.000000, -0.000128, -0.000000
737, 12.130000, 566.681445, -0.000110, -0.000000, -0.000190, -0.000000
738, 12.580000, 565.964222, -0.000134, -0.000000, -0.000237, -0.000000
739, 11.810000, 565.559208, -0.000131, -0.000000, -0.000231, -0.000000
740, 11.830000, 565.480888, -0.000116, -0.000000, -0.000204, -0.000000
741, 11.810000, 565.471172, -0.000076, -0.000000, -0.000131, -0.000000
742, 11.810000, 565.195739, -0.000026, -0.000000, -0.000039, -0.000000
743, 11.790000, 565.631449, 0.000000, 0.000000, 0.000008, 0.000000
744, 11.830000, 566.300213, -0.000006, -0.000000, -0.000001, -0.000000
745, 11.810000, 566.795468, -0.000020, -0.000000, -0.000026, -0.000000
746, 11.810000, 567.673683, -0.000047, -0.000000, -0.000076, -0.000000
747, 11.790000, 566.771626, -0.000098, -0.000000, -0.000168, -0.000000
748, 11.830000, 566.888690, -0.000129, -0.000000, -0.000227, -0.000000
749, 11.810000, 566.179514, -0.000132, -0.000000, -0.000233, -0.000000
750, 11.810000, 565.484941, -0.000119, -0.000000, -0.000210, -0.000000
751, 11.790000, 565.894127, -0.000084, -0.000000, -0.000145, -0.000000
752, 11.830000, 564.789832, -0.000036, -0.000000, -0.000057, -0.000000
753, 11.810000, 564.818919, -0.000004, -0.000000, 0.000001, 0.000000
754, 11.810000, 565.183640, -0.000003, -0.000000, 0.000004, 0.000000
755, 11.620000, 564.783633, -0.000014, -0.000000, -0.000016, -0.000000
756, 11.750000, 565.788686, -0.000023, -0.000000, -0.000032, -0.000000
