run, time(ms), voltage(mV), energy(uJ), energy(uWh), charge(uC), charge(uAh)
115, 11.820000, 563.247442, -0.000004, -0.000000, 0.000001, 0.000000
116, 12.530000, 562.815964, -0.000011, -0.000000, -0.000011, -0.000000
117, 11.800000, 562.336564, -0.000017, -0.000000, -0.000021, -0.000000
118, 11.270000, 562.747121, -0.000031, -0.000000, -0.000046, -0.000000
119, 12.510000, 563.202798, -0.000074, -0.000000, -0.000124, -0.000000
120, 11.820000, 562.967837, -0.000112, -0.000000, -0.000194, -0.000000
121, 11.250000, 562.593460, -0.000130, -0.000000, -0.000228, -0.000000
122, 11.190000, 563.007414, -0.000129, -0.000000, -0.000229, -0.000000
123, 11.060000, 563.024282, -0.000126, -0.000000, -0.000222, -0.000000
124, 11.510000, 562.936008, -0.000122, -0.000000, -0.000215, -0.000000
125, 12.600000, 562.889218, -0.000104, -0.000000, -0.000181, -0.000000
126, 11.830000, 562.577188, -0.000070, -0.000000, -0.000120, -0.000000
127, 11.810000, 562.740445, -0.000022, -0.000000, -0.000031, -0.000000
128, 11.340000, 562.658668, 0.000004, 0.000000, 0.000014, 0.000000
129, 11.810000, 562.396228, -0.000001, -0.000000, 0.000007, 0.000000
130, 11.820000, 562.881708, -0.000015, -0.000000, -0.000017, -0.000000
131, 11.800000, 562.678456, -0.000035, -0.000000, -0.000054, -0.000000
132, 11.830000, 562.918842, -0.000081, -0.000000, -0.000136, -0.000000
133, 11.810000, 562.867880, -0.000122, -0.000000, -0.000213, -0.000000
134, 11.820000, 561.936975, -0.000133, -0.000000, -0.000234, -0.000000
135, 11.560000, 562.676728, -0.000124, -0.000000, -0.000218, -0.000000
136, 11.760000, 562.436998, -0.000117, -0.000000, -0.000205, -0.000000
137, 11.150000, 561.847031, -0.000083, -0.000000, -0.000144, -0.000000
138, 11.400000, 562.599123, -0.000056, -0.000000, -0.000094, -0.000000
139, 11.380000, 562.111676, -0.000029, -0.000000, -0.000046, -0.000000
140, 11.290000, 562.685966, -0.000011, -0.000000, -0.000012, -0.000000
141, 10.940000, 562.759995, 0.000003, 0.000000, 0.000013, 0.000000
142, 11.620000, 562.304199, 0.000003, 0.000000, 0.000012, 0.000000
143, 12.510000, 562.644482, -0.000019, -0.000000, -0.000025, -0.000000
144, 11.760000, 561.996877, -0.000028, -0.000000, -0.000041, -0.000000
145, 11.310000, 562.800825, -0.000062, -0.000000, -0.000103, -0.000000
146, 10.950000, 562.596023, -0.000082, -0.000000, -0.000140, -0.000000
147, 11.820000, 561.991692, -0.000116, -0.000000, -0.000202, -0.000000
148, 12.530000, 562.451720, -0.000135, -0.000000, -0.000238, -0.000000
149, 11.800000, 561.005950, -0.000127, -0.000000, -0.000224, -0.000000
150, 11.270000, 561.278284, -0.000111, -0.000000, -0.000195, -0.000000
151, 11.170000, 562.134504, -0.000092, -0.000000, -0.000161, -0.000000
152, 11.080000, 562.016010, -0.000070, -0.000000, -0.000120, -0.000000
153, 11.320000, 562.639296, -0.000041, -0.000000, -0.000066, -0.000000
154, 11.690000, 561.711073, -0.000017, -0.000000, -0.000023, -0.000000
155, 12.600000, 562.271118, -0.000007, -0.000000, -0.000005, -0.000000
156, 11.830000, 562.749982, -0.000010, -0.000000, -0.000008, -0.000000
157, 11.820000, 561.954975, -0.000025, -0.000000, -0.000035, -0.000000
158, 11.290000, 562.928140, -0.000050, -0.000000, -0.000081, -0.000000
159, 11.800000, 562.733531, -0.000087, -0.000000, -0.000147, -0.000000
160, 11.640000, 562.267184, -0.000124, -0.000000, -0.000216, -0.000000
161, 11.740000, 562.728584, -0.000133, -0.000000, -0.000235, -0.000000
162, 11.150000, 562.353194, -0.000121, -0.000000, -0.000213, -0.000000
163, 11.600000, 562.589467, -0.000114, -0.000000, -0.000200, -0.000000
164, 12.100000, 562.360406, -0.000091, -0.000000, -0.000157, -0.000000
165, 11.360000, 562.267721, -0.000050, -0.000000, -0.000083, -0.000000
166, 12.530000, 562.989891, -0.000025, -0.000000, -0.000037, -0.000000
167, 11.800000, 562.166333, 0.000001, 0.000000, 0.000009, 0.000000
168, 11.270000, 562.004030, -0.000001, -0.000000, 0.000007, 0.000000
169, 12.510000, 562.320292, -0.000021, -0.000000, -0.000028, -0.000000
170, 11.030000, 562.300980, -0.000021, -0.000000, -0.000028, -0.000000
171, 12.570000, 562.301517, -0.000063, -0.000000, -0.000103, -0.000000
172, 11.830000, 562.122345, -0.000102, -0.000000, -0.000175, -0.000000
173, 11.810000, 561.879575, -0.000130, -0.000000, -0.000229, -0.000000
174, 11.820000, 561.521053, -0.000132, -0.000000, -0.000233, -0.000000
175, 11.800000, 561.334312, -0.000118, -0.000000, -0.000207, -0.000000
176, 11.830000, 561.531842, -0.000079, -0.000000, -0.000136, -0.000000
177, 11.820000, 561.482251, -0.000030, -0.000000, -0.000046, -0.000000
178, 11.820000, 560.901880, -0.000001, -0.000000, 0.000006, 0.000000
179, 11.800000, 561.006963, -0.000004, -0.000000, 0.000002, 0.000000
180, 11.830000, 560.976207, -0.000019, -0.000000, -0.000025, -0.000000
181, 11.800000, 561.489701, -0.000045, -0.000000, -0.000071, -0.000000
