time (in 10s), voltage_device (mV), voltage_esp (mV)
0, 482.218891, 469
1, 482.591599, 483
2, 482.855409, 490
3, 482.757777, 488
4, 483.001888, 477
5, 482.581258, 479
6, 482.995182, 486
7, 482.512981, 474
8, 481.912553, 483
9, 482.735664, 490
10, 482.451677, 480
11, 482.602805, 486
12, 482.071966, 469
13, 481.989652, 467
14, 482.147962, 483
15, 481.985956, 475
16, 482.195586, 481
17, 481.625021, 483
18, 481.629997, 482
19, 481.977999, 485
20, 482.585251, 493
21, 482.358634, 470
22, 482.143879, 488
23, 482.110679, 479
24, 482.189924, 477
25, 482.665569, 488
26, 482.10147, 476
27, 481.815338, 490
28, 482.483357, 492
29, 482.758135, 491
30, 482.816249, 475
31, 482.094318, 485
32, 481.862247, 489
33, 482.131511, 488
34, 481.470197, 484
35, 481.864661, 489
36, 482.406914, 483
37, 482.056051, 481
38, 482.448012, 491
39, 482.426316, 473
40, 482.111812, 495
41, 482.591599, 482
42, 482.642889, 473
43, 481.974632, 478
44, 482.097983, 495
45, 482.209682, 478
46, 482.760578, 496
47, 482.656717, 490
48, 482.349604, 485
49, 482.863188, 485
50, 482.437402, 491
51, 483.076721, 477
52, 483.744383, 496
53, 483.20356, 475
54, 483.423978, 484
55, 483.460695, 484
56, 483.5895, 477
57, 483.199775, 494
58, 483.053237, 483
59, 483.427852, 484
60, 483.038604, 490
61, 483.16884, 487
62, 483.453125, 483
63, 483.070016, 482
64, 483.427316, 486
65, 483.356893, 484
66, 483.843833, 499
67, 484.167159, 475
68, 483.10113, 475
69, 484.137803, 499
70, 484.450132, 479
71, 483.590513, 478
72, 484.566182, 488
73, 484.483868, 487
74, 484.5649, 473
75, 484.76848, 484
76, 484.177381, 504
77, 484.496564, 483
78, 484.168351, 470
79, 483.892977, 491
80, 484.722823, 479
81, 484.055609, 484
82, 484.778017, 489
83, 484.766066, 501
84, 484.436631, 478
85, 485.217065, 488
86, 484.565616, 491
87, 484.923512, 481
88, 484.882236, 491
89, 484.83482, 490
90, 485.877126, 484
91, 485.502869, 479
92, 485.969245, 480
