time (in 10s), voltage_device (mV), voltage_esp (mV)
0, 513.121724, 524
1, 512.626052, 521
2, 513.117135, 542
3, 513.716578, 555
4, 514.4822, 533
5, 515.000224, 548
6, 516.218364, 502
7, 516.584456, 554
8, 514.872313, 552
9, 515.776336, 567
10, 516.928971, 538
11, 516.847253, 528
12, 517.244756, 511
13, 517.086923, 521
14, 517.26377, 495
15, 518.746614, 530
16, 518.686295, 531
17, 519.863904, 522
18, 520.01065, 571
19, 518.547118, 550
20, 520.449042, 562
21, 521.697462, 560
22, 520.419538, 572
23, 521.264076, 533
24, 521.031678, 570
25, 520.504236, 589
26, 522.95804, 548
27, 522.988856, 516
28, 521.974385, 532
29, 523.351431, 569
30, 523.665488, 522
31, 524.479747, 522
32, 524.592578, 573
33, 524.304748, 566
34, 523.51594, 542
35, 524.696887, 561
36, 525.932789, 532
37, 524.884224, 575
38, 525.119603, 561
39, 526.435018, 545
40, 525.947452, 521
41, 526.117623, 553
42, 526.885331, 538
43, 526.317775, 574
44, 526.890218, 518
45, 527.823031, 522
46, 527.576506, 562
47, 526.937485, 524
48, 526.991844, 527
49, 528.930008, 577
50, 528.388798, 568
51, 528.020442, 540
52, 528.864443, 560
53, 527.722597, 496
54, 528.679073, 515
55, 528.63878, 552
56, 527.659297, 541
57, 528.700352, 516
58, 529.257059, 528
59, 529.04439, 524
60, 528.499305, 569
61, 528.162241, 546
62, 527.593613, 568
63, 528.58758, 544
64, 529.272974, 529
65, 528.905213, 577
66, 529.374421, 531
67, 529.209137, 557
68, 530.373633, 531
69, 530.535281, 575
70, 530.872047, 577
71, 532.179236, 534
72, 530.973613, 529
73, 530.465901, 553
74, 530.257523, 578
75, 531.104326, 555
76, 532.080293, 521
77, 529.973567, 558
78, 530.426085, 514
79, 531.880438, 553
80, 531.371832, 556
81, 531.591833, 561
82, 533.119023, 560
83, 531.793714, 499
84, 530.564427, 533
85, 531.781077, 533
86, 532.002449, 542
87, 531.194925, 522
88, 531.632304, 562
89, 531.678796, 531
90, 531.256914, 519
91, 531.29214, 546
92, 532.450676, 573
93, 533.255875, 514
94, 532.886386, 519
95, 532.707572, 547
96, 532.075822, 561
97, 531.417489, 556
98, 532.584667, 584
99, 532.484114, 536
100, 532.777667, 528
101, 534.149408, 532
102, 533.26565, 542
103, 533.264101, 509
104, 533.872962, 570
105, 533.572078, 562
106, 533.839941, 526
107, 535.021424, 557
108, 534.552038, 542
109, 533.773661, 574
110, 533.512592, 522
111, 534.144163, 562
112, 535.254955, 539
113, 533.644855, 494
114, 533.1828, 560
115, 534.86675, 531
116, 535.303473, 497
117, 535.515428, 527
118, 535.720766, 574
119, 534.409583, 554
120, 535.183132, 538
121, 535.749435, 570
122, 534.617722, 534
123, 534.928977, 570
124, 534.60139, 546
125, 534.806013, 552
126, 535.677671, 522
127, 535.13366, 586
128, 536.35031, 567
129, 536.245525, 524
130, 535.005212, 552
131, 536.023378, 565
132, 536.052227, 566
133, 536.322653, 537
134, 536.870122, 538
135, 536.894441, 505
136, 537.266433, 532
137, 535.59798, 534
138, 535.86936, 546
139, 537.234068, 572
140, 537.839293, 594
141, 537.046492, 544
142, 537.534952, 538
143, 539.004326, 532
144, 537.249744, 561
145, 536.667049, 568
146, 536.683917, 559
147, 536.347926, 513
148, 537.240148, 571
149, 535.358369, 559
150, 533.511102, 559
151, 533.713162, 554
152, 532.691777, 564
153, 531.961322, 570
154, 531.302452, 541
155, 530.042708, 554
156, 530.198276, 550
157, 529.57499, 524
158, 528.691649, 519
159, 527.618408, 570
160, 524.512827, 525
161, 524.321496, 571
162, 525.450289, 551
163, 525.31898, 533
164, 525.827646, 580
165, 525.733471, 539
166, 524.440706, 559
167, 524.197161, 538
168, 525.177419, 544
169, 525.422394, 529
170, 524.681985, 567
171, 526.153862, 532
172, 528.874338, 527
173, 528.821468, 530
174, 526.572943, 521
175, 526.186824, 543
176, 526.357412, 526
177, 526.471555, 514
178, 526.786625, 524
179, 527.188063, 539
180, 527.799129, 578
181, 527.478337, 537
182, 527.770162, 510
183, 529.060125, 586
184, 528.779387, 554
185, 529.098451, 556
186, 529.930472, 579
187, 530.976772, 562
188, 529.329181, 540
189, 527.580202, 536
190, 528.354406, 537
191, 528.987825, 565
192, 527.412832, 557
193, 529.426277, 566
194, 529.589593, 553
195, 527.829528, 521
196, 529.896021, 580
197, 530.321658, 574
198, 528.953552, 561
199, 529.402614, 574
200, 529.89465, 559
201, 529.763103, 545
202, 530.409753, 518
203, 531.287014, 549
204, 530.102611, 587
205, 529.624224, 549
206, 530.469, 581
207, 530.792236, 519
208, 531.032383, 553
209, 531.113505, 514
210, 531.497598, 530
211, 531.517386, 603
212, 531.127214, 549
213, 532.436252, 576
214, 532.615244, 591
215, 531.245172, 551
216, 532.002032, 531
217, 531.952858, 553
218, 532.846153, 518
219, 533.979177, 559
220, 533.095658, 567
221, 531.72642, 525
222, 531.065166, 556
223, 529.802263, 525
224, 529.283941, 546
225, 530.022144, 553
226, 529.649377, 538
227, 529.280424, 525
228, 530.816793, 578
229, 531.80939, 583
230, 530.762911, 518
231, 530.804813, 552
232, 530.952096, 534
233, 532.15903, 555
234, 532.854736, 560
235, 532.005906, 559
236, 533.293664, 543
237, 533.151627, 557
238, 532.9144, 555
239, 533.75113, 547
240, 534.41, 591
241, 534.88946, 548
242, 534.660578, 545
243, 535.969496, 575
244, 535.65222, 543
245, 534.447432, 555
246, 534.97833, 537
247, 536.1166, 533
248, 536.639273, 555
249, 536.276937, 566
250, 535.738587, 560
251, 535.744905, 536
252, 536.430299, 549
253, 537.125945, 548
254, 538.089573, 511
255, 538.077354, 526
256, 537.091315, 533
257, 536.338031, 559
258, 535.491943, 558
259, 535.317481, 504
260, 534.215808, 517
261, 533.378899, 522
262, 532.372832, 551
263, 533.076227, 553
264, 532.685757, 548
265, 531.932056, 522
266, 531.684399, 551
267, 531.91179, 551
268, 532.876134, 497
269, 532.773316, 569
270, 533.978641, 521
271, 533.283591, 543
272, 533.012509, 526
273, 534.366131, 572
274, 533.229113, 570
275, 532.622874, 542
276, 533.87183, 543
277, 534.37233, 533
278, 535.568535, 583
279, 534.656107, 572
280, 534.578443, 592
281, 535.823345, 565
282, 534.820616, 588
283, 537.144959, 544
284, 537.776768, 528
285, 535.782278, 535
286, 534.475684, 524
287, 534.412444, 590
288, 535.16686, 573
289, 534.25014, 537
290, 532.51487, 534
291, 530.856431, 570
292, 528.898418, 535
293, 529.012024, 547
294, 530.83384, 569
295, 530.570328, 561
296, 530.273438, 530
297, 531.067848, 548
298, 530.892789, 548
299, 530.50369, 503
300, 530.633211, 546
301, 530.407727, 545
302, 532.070994, 500
303, 532.475591, 521
304, 529.980898, 549
305, 531.56507, 540
306, 532.310426, 560
307, 530.640066, 555
308, 532.7003, 480
309, 533.356667, 550
310, 532.851458, 511
311, 532.583237, 561
312, 532.057285, 503
313, 532.754064, 538
314, 532.614052, 559
315, 532.909155, 501
316, 534.367025, 560
317, 534.024894, 579
318, 534.196854, 523
319, 535.763323, 554
320, 535.937607, 582
321, 535.562158, 589
322, 536.278844, 543
323, 536.4604, 573
324, 536.901712, 531
325, 536.523104, 591
326, 536.2342, 530
327, 537.248969, 608
328, 537.546217, 523
329, 538.27709, 556
330, 538.866997, 566
331, 538.297474, 547
332, 538.737237, 541
333, 538.185179, 514
334, 539.220214, 514
335, 538.9961, 541
336, 539.022386, 515
337, 539.960146, 545
338, 538.778961, 555
339, 540.050924, 560
340, 540.874779, 568
341, 540.831923, 507
342, 540.981054, 566
343, 540.975094, 536
344, 541.028082, 516
345, 540.727079, 551
346, 540.484846, 546
347, 541.650832, 569
348, 541.783631, 538
349, 542.124391, 535
350, 542.747259, 589
351, 541.208088, 566
352, 541.882455, 543
353, 543.287516, 584
354, 542.861819, 580
355, 542.630851, 570
356, 542.114556, 574
357, 543.091774, 531
