time (in 10s), voltage_device (mV), voltage_esp (mV)
0, 536.959291, 544
1, 535.113692, 555
2, 534.8171, 547
3, 533.658206, 538
4, 533.44655, 543
5, 533.333063, 538
6, 533.622801, 539
7, 534.141719, 550
8, 533.300936, 553
9, 532.795787, 558
10, 533.793211, 540
11, 532.704711, 538
12, 533.420801, 540
13, 534.253597, 542
14, 532.506406, 557
15, 533.370912, 554
16, 534.555733, 554
17, 535.158098, 521
18, 536.015689, 539
19, 536.042154, 542
20, 535.363734, 541
21, 536.055624, 531
22, 536.741555, 540
23, 536.158681, 554
24, 536.251843, 528
25, 535.725355, 549
26, 535.9478, 537
27, 536.375046, 540
28, 536.639214, 542
29, 536.55225, 550
30, 537.534177, 533
31, 537.863374, 553
32, 537.806153, 543
33, 538.399398, 551
34, 538.633645, 547
35, 538.321078, 540
36, 538.259864, 555
37, 538.404405, 545
38, 538.282812, 546
39, 539.559186, 534
40, 539.013267, 534
41, 538.79267, 546
42, 538.347363, 519
43, 538.92988, 549
44, 540.318668, 546
45, 539.34145, 526
46, 539.806843, 548
47, 539.106846, 532
48, 540.057778, 553
49, 540.172279, 536
50, 539.49827, 546
51, 541.588306, 536
52, 540.001452, 559
53, 540.373445, 556
54, 541.645288, 551
55, 540.71331, 544
56, 542.100906, 536
57, 541.823924, 534
58, 542.073488, 531
59, 541.009843, 531
60, 539.557934, 546
61, 539.319992, 529
62, 538.599491, 538
63, 538.526297, 525
64, 537.245452, 552
65, 536.038995, 548
66, 536.068439, 560
67, 535.409212, 529
68, 534.557521, 552
69, 533.904552, 532
70, 534.188867, 562
71, 535.467327, 537
72, 532.878041, 550
73, 531.480372, 562
74, 532.589555, 551
75, 533.015728, 543
76, 531.726539, 553
77, 530.94703, 532
78, 530.451059, 544
79, 528.94479, 543
80, 527.869821, 538
81, 526.787639, 549
82, 526.156545, 539
83, 525.602281, 531
84, 524.759889, 529
85, 522.593856, 537
86, 522.410214, 535
87, 522.745907, 536
88, 521.312356, 560
89, 520.771563, 556
90, 520.489872, 541
91, 518.589437, 535
92, 516.958237, 523
93, 517.614424, 539
94, 515.826762, 550
95, 515.013814, 538
96, 516.220748, 538
97, 515.792549, 542
98, 516.055763, 550
99, 516.564906, 564
100, 516.126096, 548
101, 515.746295, 536
102, 514.23049, 535
103, 514.138043, 550
104, 513.757646, 554
105, 514.158905, 554
106, 514.670968, 543
107, 515.735984, 549
108, 516.68787, 550
109, 515.02049, 553
110, 514.599085, 532
111, 516.112268, 554
112, 517.615259, 552
113, 516.291261, 543
114, 516.811669, 558
115, 517.531991, 548
116, 517.013133, 547
117, 518.615544, 548
118, 519.132674, 529
119, 518.826425, 548
120, 520.088851, 542
121, 521.402717, 537
122, 521.316767, 532
123, 521.238148, 548
124, 522.098601, 555
125, 522.880912, 543
126, 522.228539, 543
127, 523.492038, 550
128, 524.889112, 543
129, 523.660779, 550
130, 523.240983, 540
131, 525.531232, 551
132, 525.389135, 541
133, 526.059031, 549
134, 527.274907, 531
135, 526.101589, 552
136, 526.382148, 535
137, 525.860846, 538
138, 527.339578, 537
139, 528.763533, 534
140, 527.603269, 541
141, 529.24031, 547
142, 529.557407, 525
143, 528.802752, 554
144, 530.031025, 555
145, 529.616714, 523
146, 529.662728, 539
147, 531.290054, 525
148, 531.839311, 539
149, 531.975389, 534
150, 531.836212, 540
151, 532.939553, 535
152, 534.195781, 516
153, 534.036696, 538
154, 532.71836, 536
155, 532.442153, 552
156, 533.734262, 534
157, 534.090102, 560
158, 535.074234, 528
159, 535.621226, 537
160, 533.875525, 565
161, 534.93768, 548
162, 535.104632, 529
163, 535.216331, 554
164, 535.821021, 529
165, 535.125434, 552
166, 537.062049, 537
167, 536.788046, 556
168, 536.538661, 563
169, 538.167, 538
170, 537.471592, 546
171, 538.146913, 559
172, 539.726555, 539
173, 538.860917, 548
174, 538.258255, 538
175, 539.652884, 552
176, 538.972437, 552
177, 539.903939, 543
178, 539.632499, 542
179, 539.467454, 537
180, 539.513826, 531
181, 538.987577, 542
182, 539.760113, 560
183, 540.310919, 548
184, 540.529609, 539
185, 539.98822, 538
186, 540.554583, 533
187, 540.309668, 528
188, 540.367007, 541
189, 541.739404, 557
190, 541.772127, 536
191, 541.44299, 545
192, 541.386008, 558
193, 541.404843, 538
194, 542.547166, 534
195, 542.200804, 530
196, 541.657388, 532
197, 542.001069, 534
198, 541.662037, 545
199, 542.684197, 548
200, 541.620314, 542
201, 541.609168, 554
202, 542.725146, 538
203, 541.982055, 542
204, 541.590393, 547
205, 541.367531, 532
206, 541.183829, 543
207, 541.838944, 545
208, 542.20891, 542
209, 542.033792, 547
210, 542.223275, 551
211, 542.501867, 548
212, 542.030811, 564
213, 542.07015, 550
214, 540.937066, 543
215, 540.267229, 546
216, 539.649427, 552
217, 538.579464, 541
218, 537.786841, 554
219, 537.904799, 551
220, 537.094951, 553
221, 536.951244, 541
222, 537.571013, 553
223, 537.956953, 558
224, 538.020849, 540
225, 538.612425, 555
226, 538.371623, 551
227, 537.549615, 535
228, 538.792789, 543
229, 539.942622, 549
230, 539.381206, 547
231, 539.868772, 553
232, 539.910614, 555
233, 538.811982, 537
234, 539.942384, 540
235, 541.323721, 554
236, 541.090965, 544
237, 539.507508, 549
238, 538.973153, 553
239, 540.780365, 548
240, 540.544569, 543
241, 540.311277, 559
242, 540.230095, 542
243, 541.276813, 553
244, 540.747344, 530
245, 540.287793, 548
246, 541.48531, 549
247, 541.129112, 560
248, 541.059256, 554
249, 541.643739, 542
250, 540.241361, 532
251, 540.851057, 556
252, 541.02391, 551
253, 540.935993, 551
254, 541.770041, 524
255, 541.598558, 546
256, 541.338801, 561
257, 542.24664, 554
258, 543.143213, 555
259, 542.983294, 536
260, 541.598141, 540
261, 541.059911, 549
262, 540.958524, 551
263, 539.868116, 541
264, 539.190173, 548
265, 537.561595, 550
266, 537.273049, 526
267, 536.915779, 531
268, 534.218192, 553
269, 533.860087, 533
270, 535.351753, 532
271, 534.7054, 544
272, 534.990311, 546
273, 536.683023, 525
274, 535.928249, 538
275, 535.206914, 553
276, 536.330581, 548
277, 536.743224, 547
278, 536.986709, 538
279, 535.95072, 559
280, 534.663141, 557
281, 534.390211, 538
282, 533.144653, 530
283, 531.535447, 539
284, 532.365441, 555
285, 533.956349, 560
286, 531.840503, 533
287, 529.663503, 557
288, 530.078888, 549
289, 530.456543, 558
290, 528.993547, 543
291, 527.534842, 558
292, 527.508855, 544
293, 526.861489, 539
294, 527.438045, 549
295, 528.382957, 544
296, 528.687179, 558
297, 528.563738, 548
298, 530.190825, 551
299, 529.71226, 541
300, 528.990328, 542
301, 529.84494, 557
302, 529.019773, 552
303, 528.769791, 557
304, 528.775334, 550
305, 529.568851, 555
306, 530.225635, 555
307, 530.066967, 545
308, 531.846702, 555
309, 532.420099, 543
310, 531.427085, 550
311, 531.148553, 558
312, 530.548632, 542
313, 531.865895, 554
314, 532.528281, 539
315, 533.553362, 535
316, 533.480942, 557
317, 531.867146, 556
318, 533.215642, 549
319, 533.498466, 550
320, 533.970296, 540
321, 534.713149, 531
322, 534.540594, 540
323, 535.535753, 557
324, 535.571754, 560
325, 535.649061, 538
326, 535.959721, 536
327, 536.528051, 532
328, 537.086785, 549
329, 537.55033, 554
330, 537.413001, 537
331, 537.277162, 543
332, 538.898349, 541
333, 539.111376, 537
334, 538.719118, 553
335, 539.54947, 529
336, 539.718091, 545
337, 537.843764, 539
338, 537.895799, 530
339, 538.048148, 538
340, 537.467897, 547
341, 539.087892, 549
342, 539.081931, 530
343, 539.04438, 533
344, 540.01987, 538
345, 539.439976, 544
346, 538.882256, 569
347, 538.619101, 547
348, 537.122846, 527
349, 536.647558, 548
350, 536.851704, 553
351, 535.327256, 543
352, 533.55217, 554
353, 533.331513, 529
354, 532.819867, 537
