Mean Delta Voltage: 42.78 mV
Mean Drop Voltage: 92.28 mV
run, Delta Voltage [mV], Voltage Drop[mV]:
0, 36.000000, 138.000000
1, 48.000000, 78.000000
2, 78.000000, 90.000000
3, 66.000000, 90.000000
4, 0.000000, 126.000000
5, 48.000000, 84.000000
6, 30.000000, 96.000000
7, 42.000000, 78.000000
8, 42.000000, 72.000000
9, 54.000000, 96.000000
10, 30.000000, 102.000000
11, 48.000000, 96.000000
12, 48.000000, 72.000000
13, 30.000000, 102.000000
14, 42.000000, 96.000000
15, 48.000000, 78.000000
16, 42.000000, 72.000000
17, 48.000000, 90.000000
18, 36.000000, 90.000000
19, 48.000000, 78.000000
20, 36.000000, 84.000000
21, 54.000000, 96.000000
22, 36.000000, 96.000000
23, 42.000000, 54.000000
24, 36.000000, 96.000000
25, 48.000000, 102.000000
26, 42.000000, 96.000000
27, 30.000000, 96.000000
28, 78.000000, 120.000000
29, 36.000000, 72.000000
30, 60.000000, 96.000000
31, 24.000000, 96.000000
32, 54.000000, 102.000000
33, 12.000000, 108.000000
34, 42.000000, 144.000000
35, 18.000000, 78.000000
36, 42.000000, 84.000000
37, 24.000000, 114.000000
38, 60.000000, 90.000000
39, 48.000000, 78.000000
40, 42.000000, 120.000000
41, 42.000000, 84.000000
42, 30.000000, 90.000000
43, 54.000000, 96.000000
44, 36.000000, 90.000000
45, 0.000000, 120.000000
46, 42.000000, 102.000000
47, 48.000000, 90.000000
48, 48.000000, 72.000000
49, 66.000000, 90.000000
50, 36.000000, 96.000000
51, 36.000000, 108.000000
52, 42.000000, 78.000000
53, 48.000000, 78.000000
54, 12.000000, 102.000000
55, 78.000000, 72.000000
56, 42.000000, 90.000000
57, 54.000000, 78.000000
58, 48.000000, 90.000000
59, 54.000000, 78.000000
60, 66.000000, 96.000000
61, 42.000000, 78.000000
62, 60.000000, 90.000000
63, 102.000000, 90.000000
64, 30.000000, 90.000000
65, 42.000000, 90.000000
66, 60.000000, 84.000000
67, 42.000000, 96.000000
68, 36.000000, 90.000000
69, 42.000000, 96.000000
70, 48.000000, 90.000000
71, 24.000000, 78.000000
72, 36.000000, 108.000000
73, 24.000000, 90.000000
74, 24.000000, 102.000000
75, 36.000000, 90.000000
76, 48.000000, 78.000000
77, 36.000000, 102.000000
78, 48.000000, 90.000000
79, 54.000000, 84.000000
80, 42.000000, 78.000000
81, 54.000000, 84.000000
82, 42.000000, 90.000000
83, 60.000000, 84.000000
84, 36.000000, 90.000000
85, 18.000000, 102.000000
86, 48.000000, 96.000000
87, 18.000000, 102.000000
88, 6.000000, 102.000000
89, 72.000000, 72.000000
90, 54.000000, 84.000000
91, 54.000000, 102.000000
92, 60.000000, 72.000000
93, 42.000000, 84.000000
94, 48.000000, 90.000000
95, 6.000000, 96.000000
96, 48.000000, 108.000000
97, 36.000000, 132.000000
98, 42.000000, 96.000000
99, 48.000000, 102.000000
