time (in 10s), voltage_device (mV), voltage_esp (mV)
0, 545.051038, 557
1, 544.904947, 538
2, 544.412851, 593
3, 543.264031, 618
4, 542.844236, 536
5, 542.202353, 542
6, 542.493582, 536
7, 542.596281, 565
8, 540.91233, 574
9, 542.249918, 514
10, 542.10794, 555
11, 540.756881, 508
12, 542.185307, 526
13, 542.472959, 469
14, 541.764796, 571
15, 542.647362, 517
16, 542.934775, 581
17, 542.71704, 475
18, 542.480052, 552
19, 542.709291, 615
20, 543.020844, 489
21, 542.897105, 475
22, 543.659985, 508
23, 544.330478, 548
24, 543.596327, 473
25, 542.772233, 489
26, 543.409705, 533
27, 543.698311, 551
28, 543.883443, 524
29, 544.363499, 591
30, 544.451952, 473
31, 544.307113, 591
32, 544.670284, 597
33, 544.742703, 532
34, 544.721484, 562
35, 544.760764, 572
36, 544.926643, 571
37, 545.567036, 505
38, 544.522047, 548
39, 544.873536, 535
40, 544.661701, 517
41, 543.803632, 548
42, 545.850456, 514
43, 545.236409, 564
44, 545.307398, 521
45, 546.188772, 568
46, 545.54379, 540
47, 544.903696, 518
48, 545.245886, 551
49, 545.954645, 609
50, 545.893967, 530
51, 545.806408, 518
52, 545.767546, 552
53, 545.162618, 572
54, 545.399845, 519
55, 545.945585, 495
56, 545.179069, 475
57, 545.376182, 532
58, 546.055317, 545
59, 546.055555, 578
60, 545.597434, 597
61, 545.998693, 521
62, 545.753717, 539
63, 545.556605, 574
64, 545.963168, 549
65, 545.599103, 500
66, 545.827985, 514
67, 545.976996, 518
68, 546.042144, 504
69, 545.917273, 584
70, 546.032548, 543
71, 546.344936, 502
72, 545.426846, 552
73, 545.345962, 615
74, 545.885444, 559
75, 545.554876, 502
76, 546.458483, 542
77, 546.111286, 552
78, 545.287907, 566
79, 546.117961, 539
80, 546.104372, 615
81, 546.461999, 577
82, 546.489835, 572
83, 546.122551, 545
84, 546.399295, 625
85, 546.288788, 568
86, 545.902252, 628
87, 545.898914, 549
88, 546.069741, 539
89, 546.117067, 603
90, 546.788394, 555
91, 546.59754, 508
92, 546.402395, 497
93, 546.672106, 485
94, 546.772003, 621
95, 546.662509, 558
96, 546.713293, 622
97, 546.69106, 499
98, 546.865463, 552
99, 546.644032, 570
100, 546.285927, 549
101, 546.086431, 616
102, 546.097696, 597
103, 546.580732, 541
104, 546.824813, 523
105, 546.637177, 584
106, 546.565652, 612
107, 547.090769, 486
108, 546.860456, 555
109, 546.729147, 512
110, 546.854913, 520
111, 546.762288, 511
112, 546.223044, 502
113, 546.405256, 511
114, 546.907783, 548
115, 546.844661, 539
116, 546.813011, 542
117, 546.691418, 529
118, 546.91565, 558
119, 546.96697, 549
120, 546.989262, 530
121, 546.971858, 575
122, 546.371877, 510
123, 546.991646, 538
124, 546.825647, 539
125, 547.173202, 583
126, 547.253966, 562
127, 546.426773, 472
128, 546.976268, 520
129, 546.655476, 562
130, 547.004819, 594
131, 547.699928, 527
132, 546.902061, 591
133, 547.255993, 538
134, 547.42837, 555
135, 546.586573, 489
