time (in 10s), voltage_device (mV), voltage_esp (mV)
0, 520.437837, 541
1, 518.822432, 558
2, 518.799007, 555
3, 519.071043, 532
4, 519.199789, 542
5, 520.302236, 534
6, 520.768046, 548
7, 522.311807, 544
8, 521.241128, 546
9, 520.274758, 542
10, 521.081448, 561
11, 521.574438, 545
12, 521.669149, 541
13, 520.548105, 546
14, 522.723079, 538
15, 523.460388, 548
16, 522.829175, 543
17, 524.989605, 538
18, 525.130153, 556
19, 524.142325, 564
20, 524.843633, 531
21, 525.091887, 538
22, 525.395632, 548
23, 525.585055, 558
24, 524.764299, 549
25, 524.109423, 536
26, 523.993433, 533
27, 523.224354, 550
28, 522.247434, 539
29, 522.964835, 535
30, 522.485137, 536
31, 522.527874, 535
32, 524.728298, 551
33, 524.347425, 534
34, 524.240255, 561
35, 524.316549, 551
36, 524.023056, 533
37, 524.484813, 536
38, 524.368763, 551
39, 525.184989, 547
40, 525.20895, 547
41, 525.251329, 539
42, 526.813686, 561
43, 527.851403, 542
44, 526.480675, 548
45, 527.228296, 547
46, 527.791321, 538
47, 526.987374, 547
48, 527.757287, 540
49, 526.863873, 557
50, 527.926505, 535
51, 529.436946, 555
52, 527.638853, 545
53, 527.074039, 545
54, 529.061258, 539
55, 528.580189, 540
56, 528.04935, 540
57, 528.750598, 555
58, 529.010892, 547
59, 528.967142, 538
60, 529.744148, 533
61, 530.863702, 538
62, 530.770421, 539
63, 530.769408, 554
64, 530.932367, 536
65, 530.596554, 530
66, 530.405402, 539
67, 531.62688, 541
68, 533.133805, 548
69, 532.309353, 552
70, 532.383204, 542
71, 533.469796, 548
72, 532.607198, 553
73, 531.056643, 548
74, 531.68422, 543
75, 532.806635, 537
76, 533.2039, 540
77, 533.005655, 554
78, 531.811714, 535
79, 532.162309, 535
80, 531.637549, 554
81, 532.049835, 541
82, 533.908188, 534
83, 532.658637, 544
84, 531.902671, 540
85, 533.35923, 547
86, 532.809615, 543
87, 532.555461, 547
88, 533.349633, 545
89, 533.238769, 541
90, 533.151627, 545
91, 533.638299, 542
92, 533.952534, 547
93, 534.191012, 539
94, 535.793185, 547
95, 536.633968, 548
96, 536.009967, 549
97, 534.800828, 542
98, 534.851313, 544
99, 536.261559, 557
100, 535.903275, 564
101, 534.623086, 553
102, 535.633326, 519
103, 535.854876, 544
104, 534.844697, 566
105, 534.672141, 551
106, 535.120845, 551
107, 535.80296, 553
108, 536.666512, 560
109, 535.449803, 542
110, 535.741031, 539
111, 535.651624, 539
112, 535.236955, 556
113, 535.705328, 529
114, 534.432828, 533
115, 536.365986, 541
116, 536.385119, 552
117, 535.713375, 535
118, 537.690282, 538
119, 536.099851, 546
120, 536.284387, 548
121, 537.740231, 551
122, 537.741363, 534
123, 537.855506, 529
124, 537.067115, 542
125, 536.657631, 550
126, 537.37855, 539
127, 537.548661, 545
128, 538.353741, 549
129, 538.277209, 547
130, 538.037598, 536
131, 538.846195, 538
132, 538.518846, 542
133, 538.724959, 553
134, 539.08056, 544
135, 538.303018, 540
136, 537.683368, 551
137, 538.113594, 548
138, 539.725304, 541
139, 539.439321, 530
140, 538.653135, 543
141, 539.054453, 539
142, 539.780974, 546
143, 539.285421, 551
144, 537.720621, 539
145, 538.094044, 537
146, 538.457274, 531
147, 538.548589, 541
148, 539.381087, 533
149, 538.733602, 540
150, 538.680255, 538
151, 539.109766, 554
152, 539.432347, 561
153, 539.425135, 548
