time (in 10s), voltage_device (mV), voltage_esp (mV)
0, 556.327999, 556
1, 556.959271, 566
2, 557.205975, 590
3, 556.677043, 560
4, 557.417572, 580
5, 556.967854, 550
6, 557.048321, 570
7, 557.312727, 548
8, 556.459188, 572
9, 556.316555, 560
10, 556.164443, 598
11, 556.041539, 573
12, 555.972219, 579
13, 555.511892, 554
14, 555.304885, 560
15, 555.619717, 553
16, 556.111753, 550
17, 556.105614, 550
18, 556.260228, 557
19, 556.420207, 522
20, 556.676388, 532
21, 557.3349, 567
22, 556.692004, 548
23, 556.477726, 547
24, 556.504667, 549
25, 555.952251, 576
26, 555.967689, 560
27, 555.344224, 576
28, 555.3146, 586
29, 556.139529, 570
30, 556.124508, 582
31, 556.151807, 601
32, 556.539059, 535
33, 556.174099, 553
34, 556.87052, 537
35, 557.297289, 551
36, 557.248771, 557
37, 556.979775, 566
38, 556.087673, 553
39, 557.095945, 557
40, 556.5207, 567
41, 555.822134, 582
42, 556.67299, 550
43, 556.280494, 528
44, 556.937158, 579
45, 557.089806, 553
46, 557.168305, 585
47, 557.687879, 559
48, 556.98818, 589
49, 556.69868, 540
50, 556.695402, 577
51, 556.759775, 538
52, 556.752205, 530
53, 555.990577, 534
54, 555.451155, 546
55, 554.510593, 548
56, 554.376602, 506
57, 555.066049, 543
58, 554.98296, 519
59, 555.319309, 563
60, 555.973947, 561
61, 555.901587, 569
62, 556.011796, 544
63, 556.291044, 579
64, 556.148112, 582
65, 555.930018, 595
66, 555.701911, 576
67, 555.696845, 559
68, 555.491984, 564
69, 555.354357, 586
70, 554.998457, 549
71, 555.251956, 537
72, 555.826724, 544
73, 555.867076, 546
74, 556.372464, 554
75, 556.465149, 582
76, 556.383491, 541
77, 556.852281, 519
78, 556.785703, 550
79, 556.257248, 579
80, 556.419313, 516
81, 554.676235, 537
82, 555.386841, 552
83, 555.117428, 595
84, 555.041611, 525
85, 555.289865, 521
86, 554.929852, 557
87, 555.440366, 551
88, 555.183947, 560
89, 555.260956, 557
90, 555.999339, 554
91, 556.064546, 545
92, 555.976331, 577
93, 555.41271, 556
94, 555.164993, 547
95, 555.863261, 515
96, 555.191994, 573
97, 554.877937, 537
98, 554.94839, 553
99, 555.058599, 547
100, 555.641472, 569
101, 555.627584, 550
102, 555.671692, 556
103, 555.691719, 535
104, 555.362284, 537
105, 556.634903, 582
106, 556.528091, 547
107, 555.624664, 553
108, 556.456983, 551
109, 556.230724, 590
110, 555.388689, 579
111, 555.299401, 580
112, 555.434048, 537
113, 555.931211, 582
114, 555.67807, 579
