time (in 10s), voltage_device (mV), voltage_esp (mV)
0, 507.974327, 571
1, 505.874276, 570
2, 503.432512, 566
3, 501.690805, 563
4, 500.093162, 565
5, 499.196827, 561
6, 499.88386, 563
7, 497.108996, 551
8, 493.818045, 555
9, 494.926453, 569
10, 492.965907, 558
11, 490.797669, 565
12, 490.218759, 574
13, 488.051325, 567
14, 487.129629, 565
15, 486.04241, 568
16, 486.703664, 559
17, 485.402763, 547
18, 483.928084, 554
19, 484.071881, 560
20, 484.8001, 566
21, 483.60315, 566
22, 481.397033, 568
23, 480.979681, 571
24, 482.282311, 567
25, 482.35181, 559
26, 481.62666, 568
27, 480.383813, 556
28, 478.938341, 555
29, 478.683114, 560
30, 478.981942, 565
31, 479.618967, 563
32, 479.248375, 566
33, 476.961672, 575
34, 475.700498, 571
35, 474.07499, 559
36, 472.911358, 557
37, 472.877681, 579
38, 470.960855, 553
39, 470.071524, 558
40, 469.018757, 562
41, 467.714489, 568
42, 467.033029, 563
43, 464.50749, 572
44, 465.182245, 567
45, 465.993762, 569
46, 465.579271, 552
47, 465.364844, 559
48, 465.658903, 553
49, 466.925174, 558
50, 466.773003, 567
51, 464.861214, 556
52, 464.669913, 566
53, 465.165168, 568
54, 464.78945, 568
55, 466.109514, 565
56, 466.118902, 556
57, 465.63983, 568
58, 465.396702, 548
59, 464.759678, 552
60, 466.611654, 561
61, 468.542695, 561
62, 468.43943, 566
63, 469.757855, 562
64, 469.764262, 562
65, 469.479233, 567
66, 469.495356, 570
67, 467.990667, 555
68, 465.499818, 559
69, 464.83171, 557
70, 466.951191, 560
71, 466.699541, 569
72, 465.401649, 567
73, 465.687871, 569
74, 465.886384, 568
75, 466.341794, 563
76, 467.397362, 565
77, 465.63068, 542
78, 466.907233, 557
79, 468.594581, 558
80, 467.808962, 569
81, 468.521714, 561
82, 467.348039, 569
83, 467.176706, 572
84, 465.616614, 572
85, 463.699073, 552
86, 463.650674, 563
87, 464.05825, 558
88, 464.087307, 550
89, 463.785708, 560
90, 462.851346, 564
91, 463.889092, 569
92, 467.70066, 567
93, 468.191504, 568
94, 469.640911, 566
95, 469.775319, 564
96, 467.855126, 565
97, 468.360007, 557
98, 468.786001, 553
99, 468.411863, 558
100, 469.682187, 563
101, 469.902635, 565
102, 469.784468, 568
103, 471.476823, 572
104, 473.227739, 567
105, 474.592358, 557
106, 476.540834, 566
107, 479.39086, 557
108, 479.439437, 550
109, 480.220586, 563
110, 481.555253, 569
111, 480.00133, 564
112, 479.80085, 560
113, 480.072081, 573
114, 480.748862, 562
115, 482.120365, 565
116, 482.985437, 561
117, 485.762537, 556
118, 486.7872, 552
119, 487.596929, 554
120, 491.904676, 562
121, 494.052291, 567
122, 494.137406, 562
123, 493.348688, 571
124, 495.257825, 568
125, 496.014833, 559
126, 494.458318, 566
127, 496.572345, 555
128, 498.071998, 556
129, 498.648077, 547
130, 500.340462, 572
131, 501.703918, 567
132, 503.919959, 567
133, 508.01909, 563
134, 509.222388, 567
135, 511.556387, 563
136, 513.073862, 557
137, 514.051735, 563
138, 517.569184, 549
139, 518.255532, 567
140, 519.241035, 566
141, 520.990074, 557
142, 522.27658, 570
143, 523.611665, 575
144, 524.664581, 572
145, 526.078284, 567
146, 527.18401, 560
147, 529.286683, 550
148, 533.571362, 555
149, 535.824418, 552
150, 536.312699, 573
151, 538.640678, 555
152, 540.509641, 572
153, 541.338921, 568
154, 542.753816, 571
155, 542.079091, 564
156, 542.084277, 562
157, 544.303238, 552
158, 546.117663, 556
159, 547.317207, 555
160, 549.468756, 561
161, 551.462233, 565
162, 554.128766, 573
163, 557.457387, 568
164, 558.832884, 562
165, 559.920609, 564
166, 560.459256, 561
167, 561.128736, 560
168, 562.060714, 554
169, 561.254144, 553
170, 561.767697, 564
171, 562.477231, 560
172, 562.757432, 565
173, 564.033866, 576
174, 563.408375, 569
175, 562.821388, 557
176, 563.624203, 567
177, 563.117146, 563
178, 563.450217, 554
179, 563.304484, 560
180, 562.904179, 570
181, 563.217342, 564
182, 563.462973, 577
183, 563.999951, 569
184, 564.389646, 565
185, 564.14485, 568
186, 564.540505, 559
187, 565.168798, 549
188, 564.821541, 550
189, 565.395772, 561
190, 565.010846, 564
191, 564.49753, 557
192, 564.664066, 562
193, 563.815176, 571
194, 563.961089, 557
195, 565.123141, 561
196, 565.436602, 562
197, 565.696299, 546
198, 565.916955, 559
199, 566.149235, 564
200, 566.864491, 563
201, 566.780388, 569
202, 565.902174, 563
203, 565.315783, 569
204, 564.868689, 573
205, 564.592898, 558
206, 564.804614, 570
207, 564.420879, 555
208, 563.601434, 554
209, 564.70865, 556
210, 566.425681, 564
211, 566.469669, 569
212, 565.419257, 573
213, 565.415859, 569
214, 565.586507, 568
215, 565.348148, 557
216, 565.388978, 559
217, 565.009892, 557
218, 564.307392, 546
219, 563.35181, 555
220, 563.21919, 567
221, 562.205195, 568
222, 562.515438, 564
223, 563.360751, 577
224, 562.858343, 560
225, 562.944472, 573
226, 562.359214, 560
227, 562.518001, 556
228, 561.961472, 556
229, 561.007977, 566
230, 560.649157, 569
231, 559.856176, 564
232, 559.678495, 570
233, 559.646964, 573
234, 559.92198, 568
235, 560.587168, 562
236, 561.319888, 558
237, 561.367869, 550
238, 561.117172, 554
239, 561.484814, 563
240, 561.79148, 565
241, 560.955465, 561
242, 560.51445, 567
243, 560.259104, 570
244, 559.601128, 569
245, 559.557259, 559
246, 559.77875, 564
247, 558.771789, 557
248, 558.705389, 551
249, 560.119987, 558
250, 560.001016, 571
251, 560.035348, 561
252, 560.09239, 569
253, 560.446501, 569
254, 560.721993, 564
255, 560.522437, 565
256, 560.199022, 559
257, 559.924901, 552
258, 559.433341, 561
259, 558.688521, 563
260, 559.00991, 563
261, 559.07321, 561
262, 559.400558, 570
263, 559.728563, 570
264, 559.940159, 563
265, 560.39995, 562
266, 560.120642, 556
267, 560.10884, 546
268, 560.328543, 549
269, 560.051203, 566
270, 560.440302, 569
271, 559.744954, 569
272, 558.911681, 568
273, 558.741629, 567
274, 558.055043, 563
275, 556.955397, 563
276, 557.696462, 554
277, 558.636367, 556
278, 559.20428, 554
279, 559.538066, 560
280, 559.415698, 561
281, 560.090542, 561
282, 560.522437, 571
283, 560.279667, 571
284, 559.927821, 562
285, 559.899211, 561
286, 559.123218, 562
287, 558.273792, 555
288, 558.811843, 551
289, 558.262169, 560
290, 557.967067, 566
291, 559.387386, 564
292, 559.482157, 569
293, 559.173763, 570
294, 560.012043, 565
295, 560.045838, 560
296, 560.108781, 562
297, 560.354054, 564
298, 559.771597, 546
299, 559.375942, 555
300, 559.451759, 566
301, 559.263229, 552
302, 558.645189, 570
303, 558.130622, 569
304, 559.211671, 563
305, 559.689403, 563
306, 559.683621, 559
307, 560.038865, 553
308, 559.740067, 549
309, 559.984088, 559
310, 560.210586, 560
311, 560.115457, 563
312, 559.571624, 572
313, 558.449328, 573
314, 557.684064, 575
315, 558.082163, 560
316, 558.608234, 555
317, 558.506608, 552
318, 559.125602, 550
319, 559.561133, 557
320, 559.979379, 565
321, 560.445786, 560
322, 560.252547, 572
323, 560.263336, 568
324, 560.315013, 564
325, 559.675574, 556
326, 559.254408, 561
327, 559.299946, 549
328, 559.075892, 549
329, 558.163464, 567
330, 558.695734, 559
331, 559.716403, 568
332, 558.762014, 572
333, 560.419381, 574
334, 560.517788, 560
335, 559.381604, 563
336, 559.944391, 550
337, 560.134351, 549
338, 559.231281, 550
339, 559.120357, 555
340, 558.961868, 560
341, 558.31337, 563
342, 557.979465, 567
343, 558.391869, 576
344, 559.105277, 567
345, 559.586406, 567
346, 559.7381, 546
347, 559.746206, 554
348, 560.146809, 556
349, 560.386598, 563
350, 560.381532, 561
351, 559.791565, 565
352, 559.678555, 567
353, 559.769034, 573
354, 558.951318, 561
355, 559.357226, 565
356, 559.379041, 558
357, 559.255898, 556
358, 559.986353, 554
359, 559.744, 560
360, 560.404003, 567
361, 560.635984, 564
362, 560.281456, 571
363, 560.705543, 568
364, 559.871316, 564
365, 560.358405, 561
366, 559.653521, 561
367, 558.979511, 556
368, 559.505105, 555
369, 558.50327, 567
370, 559.00234, 560
371, 559.317529, 565
372, 558.120668, 571
373, 559.265852, 564
374, 559.105158, 558
375, 557.94549, 563
376, 558.562636, 565
377, 558.698118, 548
378, 559.284568, 561
379, 559.641004, 553
380, 558.730781, 566
381, 558.892846, 564
382, 559.05962, 575
383, 559.128821, 559
384, 558.523595, 562
385, 557.882965, 566
386, 558.799624, 561
387, 558.743715, 552
388, 559.177995, 552
389, 559.485912, 556
390, 558.640361, 558
391, 559.134185, 565
392, 558.830082, 575
393, 558.402121, 569
394, 558.812499, 559
395, 557.829797, 548
396, 558.115005, 561
397, 557.743609, 553
398, 557.281256, 560
399, 557.855487, 550
400, 558.69329, 561
401, 559.791386, 568
402, 559.368789, 571
403, 559.633315, 576
404, 560.534, 561
405, 560.158849, 562
406, 560.291886, 549
407, 559.824109, 548
408, 559.485197, 559
409, 559.101701, 565
410, 558.727741, 559
411, 558.837771, 582
412, 558.695495, 572
413, 559.310138, 574
414, 559.771419, 553
415, 559.525371, 562
416, 559.995711, 558
417, 559.980989, 550
418, 560.019016, 554
419, 560.04715, 559
420, 559.225142, 568
421, 559.247851, 563
422, 558.844566, 580
423, 559.171021, 568
424, 559.0626, 566
425, 558.514893, 557
426, 559.020698, 565
427, 558.507204, 552
428, 559.236765, 550
429, 559.877634, 557
430, 559.255779, 566
431, 558.863223, 564
432, 558.860004, 572
433, 559.266448, 571
434, 559.173405, 567
435, 559.65507, 555
436, 559.633136, 557
437, 558.684409, 552
438, 559.181571, 552
439, 559.276104, 561
440, 558.150172, 563
441, 558.009326, 573
442, 558.098972, 575
443, 558.404505, 569
444, 558.520734, 563
445, 559.351504, 564
446, 559.814453, 559
447, 559.269726, 549
448, 559.278309, 552
449, 559.177756, 559
450, 559.450448, 558
451, 559.029639, 558
452, 558.683753, 579
453, 558.64346, 555
454, 558.102012, 560
455, 558.322191, 562
456, 558.211744, 560
457, 558.091223, 554
458, 558.413088, 553
459, 558.513463, 556
460, 559.112608, 569
461, 558.736742, 562
462, 558.928907, 570
463, 559.425056, 571
464, 559.167445, 563
465, 559.249401, 566
466, 559.043467, 562
467, 558.378398, 560
468, 558.235824, 558
469, 558.005989, 555
470, 557.843029, 566
471, 558.302879, 568
472, 559.000313, 569
473, 559.265733, 566
474, 558.643401, 571
475, 558.337212, 560
476, 558.549702, 561
477, 558.750272, 549
478, 558.731377, 561
479, 557.887137, 561
480, 557.793736, 562
481, 557.907104, 568
482, 557.40875, 576
483, 557.505846, 572
484, 557.476223, 572
485, 558.267474, 559
486, 558.510602, 558
487, 558.358252, 554
488, 558.807015, 552
489, 558.68578, 563
490, 559.080601, 568
491, 558.167398, 558
492, 557.95294, 573
493, 557.691574, 572
494, 557.63787, 561
495, 557.919323, 551
496, 557.373226, 568
497, 557.029486, 555
498, 557.720125, 543
499, 557.979047, 563
500, 558.598876, 556
501, 558.95716, 573
502, 558.363914, 575
503, 558.701694, 567
504, 558.633804, 571
505, 558.415413, 561
506, 558.784127, 563
507, 558.530867, 550
508, 558.080792, 554
509, 557.976902, 561
510, 558.099091, 568
511, 558.009982, 560
512, 558.178008, 575
513, 558.155537, 569
514, 557.85495, 566
515, 558.595538, 563
516, 558.67821, 566
517, 558.638871, 551
518, 558.321416, 557
519, 558.815479, 566
520, 558.478892, 560
521, 558.47615, 570
522, 559.137642, 570
523, 558.256507, 576
524, 557.275057, 558
525, 557.1931, 560
526, 557.036698, 560
527, 556.654453, 553
528, 557.339013, 553
529, 556.782544, 561
530, 557.428718, 560
531, 557.681024, 562
532, 558.38424, 562
533, 558.837056, 568
534, 558.229804, 573
535, 559.427857, 564
536, 558.691442, 571
537, 557.146907, 547
538, 557.345212, 553
539, 556.495667, 565
540, 556.472123, 567
541, 556.388557, 557
542, 555.750966, 566
543, 555.886686, 571
544, 556.554317, 567
545, 556.313157, 555
546, 556.335628, 559
547, 556.523263, 542
548, 556.405425, 564
549, 556.338906, 559
550, 556.765199, 573
551, 556.640267, 575
552, 555.897951, 570
553, 555.408716, 568
554, 554.314911, 557
555, 554.6453, 567
556, 553.991437, 547
557, 553.969324, 566
558, 554.170966, 549
559, 553.338468, 568
560, 552.984178, 562
561, 548.697293, 557
562, 546.935737, 575
563, 547.842205, 569
564, 546.083868, 570
565, 545.922816, 569
566, 546.488881, 557
567, 547.618568, 552
568, 547.118187, 551
569, 545.466781, 565
570, 547.403872, 561
571, 547.712624, 566
572, 548.086464, 575
