time (in 10s), voltage_device (mV), voltage_esp (mV)
244, 540.246367, 547.8
245, 540.399313, 531.6
246, 539.710104, 530.1
247, 540.143132, 528.9
248, 540.437341, 546.9
249, 540.272772, 545.4
250, 540.273786, 523.8
251, 540.45862, 547.2
252, 539.867997, 541.5
253, 540.003359, 541.5
254, 540.484667, 543.3
255, 540.100753, 546.3
256, 540.232837, 529.2
257, 540.134788, 527.7
258, 539.929926, 523.8
259, 540.229797, 552.9
260, 540.393233, 545.7
261, 540.254772, 530.1
262, 540.234089, 529.2
263, 540.147543, 538.2
264, 540.295482, 539.7
265, 540.474176, 548.7
266, 540.26109, 529.8
267, 539.874732, 537.3
268, 540.20983, 548.1
269, 540.221393, 528.6
270, 540.015161, 536.4
271, 539.911687, 534.3
272, 539.975464, 546.3
273, 540.189981, 537.9
274, 540.164232, 531.6
275, 540.414572, 543.3
276, 540.1088, 536.1
277, 539.89166, 528.6
278, 540.279925, 550.5
279, 540.440321, 547.2
280, 540.071309, 537.6
281, 540.420413, 520.8
282, 540.24756, 522.6
283, 539.941847, 556.8
284, 540.389121, 538.8
285, 540.207326, 543.3
286, 540.191352, 527.1
287, 540.175617, 547.2
288, 539.85244, 528.0
289, 539.910078, 527.1
290, 540.109336, 543.0
291, 540.258825, 541.8
292, 540.092945, 546.0
293, 540.014088, 532.5
294, 540.226281, 537.3
295, 540.271461, 526.8
296, 539.842069, 540.3
297, 540.123045, 537.3
298, 540.02285, 540.0
299, 539.792836, 543.0
300, 540.265739, 529.5
301, 540.23838, 522.6
302, 540.036619, 530.1
303, 539.588332, 541.5
304, 540.14343, 529.8
305, 540.038764, 530.1
306, 539.813519, 538.5
307, 540.011227, 547.8
308, 539.922595, 533.4
309, 540.38763, 531.6
310, 540.296555, 537.9
311, 540.078938, 548.1
312, 540.314078, 538.2
313, 539.95806, 543.0
314, 540.133119, 534.9
315, 540.178299, 535.8
316, 540.364325, 537.9
317, 540.166795, 550.8
318, 539.947033, 545.4
319, 540.46005, 537.0
320, 540.122569, 530.4
321, 539.890587, 527.1
322, 540.003598, 538.2
323, 540.088356, 538.8
324, 539.967835, 536.7
325, 540.328145, 538.2
326, 540.535271, 533.7
327, 540.453434, 541.8
328, 540.123761, 534.3
329, 539.86913, 543.9
330, 540.041029, 537.3
331, 539.855003, 541.8
332, 539.978981, 552.6
333, 540.045023, 538.5
334, 540.019989, 532.5
335, 540.25358, 539.4
336, 540.052474, 543.0
337, 539.937973, 558.0
338, 539.984286, 542.7
339, 540.219426, 546.6
340, 540.250063, 544.5
341, 540.123165, 542.7
342, 540.178537, 550.8
343, 540.628254, 531.0
344, 540.271759, 508.2
345, 539.900601, 545.4
346, 539.98673, 548.4
347, 539.942384, 536.1
348, 540.482283, 536.7
349, 540.310085, 537.0
350, 539.899349, 539.4
351, 540.299952, 527.7
352, 540.205061, 555.3
353, 539.963186, 539.1
354, 540.133893, 536.1
355, 540.141463, 531.3
356, 539.917529, 546.3
357, 540.435016, 539.7
358, 540.324688, 553.2
359, 539.474487, 526.5
360, 540.015161, 551.1
361, 540.088594, 524.4
362, 540.042162, 554.4
363, 539.869666, 521.1
364, 539.618373, 533.4
365, 540.255308, 527.1
366, 540.152788, 519.0
367, 539.845109, 542.1
368, 540.210843, 546.3
369, 540.232956, 532.5
370, 540.185928, 545.1
371, 540.260077, 538.5
372, 539.64287, 548.7
373, 539.566576, 552.9
374, 540.040672, 543.0
375, 540.271342, 548.1
376, 540.336668, 535.5
377, 539.921105, 534.6
378, 540.047467, 527.1
379, 540.32743, 538.2
380, 540.207624, 528.3
381, 540.310621, 535.8
382, 540.161431, 551.7
383, 539.756298, 533.7
384, 539.585412, 538.5
385, 539.982796, 542.1
386, 540.389001, 540.9
387, 540.028155, 530.1
388, 540.208697, 532.5
389, 540.195346, 536.4
390, 540.356338, 528.6
391, 540.380955, 553.8
392, 539.736986, 529.8
393, 540.257335, 538.5
394, 540.255845, 544.8
395, 539.994717, 537.9
396, 540.209234, 538.5
397, 540.094137, 544.2
398, 540.288687, 537.6
399, 540.437341, 528.0
400, 539.875984, 538.2
401, 540.122807, 532.2
402, 540.38626, 533.1
403, 540.04091, 546.0
404, 540.04693, 528.3
405, 540.351868, 546.6
406, 540.222704, 547.8
407, 539.857328, 539.7
408, 539.720058, 532.8
409, 540.222764, 538.5
410, 540.622413, 535.8
411, 540.185809, 544.2
412, 540.151834, 534.3
413, 540.277064, 515.4
414, 540.517747, 546.9
415, 540.144622, 550.2
416, 539.870322, 540.6
417, 540.050864, 521.1
418, 540.144861, 549.3
419, 540.048361, 538.8
420, 539.999485, 516.6
421, 539.901197, 541.8
422, 540.25197, 544.2
423, 540.184915, 526.5
424, 540.126801, 533.1
425, 540.426016, 544.5
426, 539.962411, 537.0
427, 540.132225, 529.2
428, 540.219903, 533.1
429, 540.075839, 540.6
430, 540.084302, 536.7
431, 540.180504, 537.0
432, 540.292382, 554.4
433, 540.53086, 525.9
434, 540.358484, 529.8
435, 540.214598, 536.7
436, 540.103257, 543.6
437, 540.03197, 534.3
438, 540.405095, 536.7
439, 540.23248, 532.5
440, 540.039361, 530.4
441, 539.938927, 528.9
442, 540.130079, 535.8
443, 540.068984, 534.9
444, 540.229142, 534.3
445, 540.516436, 524.4
446, 540.227652, 537.9
447, 540.202081, 528.9
448, 539.964318, 528.6
449, 540.023685, 531.3
450, 540.608585, 543.6
451, 540.371001, 525.9
452, 540.268958, 523.5
453, 540.183663, 540.9
454, 540.030956, 544.8
455, 540.061116, 536.7
456, 540.391982, 531.9
457, 540.4737, 519.0
458, 540.070117, 537.9
459, 539.80577, 538.5
460, 540.280521, 527.7
461, 540.495038, 532.8
462, 540.054619, 540.6
463, 540.419102, 531.0
464, 540.43144, 542.7
465, 539.658427, 538.2
466, 539.850354, 527.1
467, 540.035248, 544.8
468, 539.938986, 525.9
469, 539.826691, 527.1
470, 540.000081, 532.5
471, 540.167332, 550.8
472, 539.941847, 538.8
473, 540.27915, 537.9
474, 540.518641, 539.4
475, 539.995253, 525.9
476, 540.134728, 535.2
477, 540.459335, 549.9
478, 539.891243, 537.0
479, 539.681017, 540.6
480, 539.851427, 534.6
481, 540.002227, 523.2
482, 540.416718, 525.6
483, 540.354311, 550.5
484, 540.277004, 523.5
485, 540.166616, 544.2
486, 540.074527, 535.8
487, 539.737165, 548.1
488, 539.938688, 529.2
489, 539.979219, 551.4
490, 539.782643, 550.2
491, 539.754272, 541.2
492, 539.998114, 561.6
493, 540.224314, 551.7
494, 539.984167, 547.8
495, 540.029943, 543.6
496, 540.277541, 518.4
497, 540.295959, 540.6
498, 540.132403, 525.6
499, 540.307999, 555.3
500, 540.250182, 558.9
501, 540.26407, 570.0
502, 540.158093, 532.2
503, 540.298879, 546.3
504, 540.092409, 549.3
505, 539.740205, 547.2
506, 539.614856, 552.0
507, 539.552867, 520.8
508, 539.756835, 562.2
509, 539.961934, 550.2
510, 540.273905, 554.4
511, 540.433884, 537.9
512, 540.20828, 550.5
